idx	label	predict	radius	correct	time
0	3	2	0.20075246036995778	0	0:00:01.659565
1	8	8	0.3838293017686006	1	0:00:01.473820
2	8	8	0.3838293017686006	1	0:00:01.474246
3	0	0	0.024141368684288712	1	0:00:01.474449
4	6	4	0.3838293017686006	0	0:00:01.474768
5	6	6	0.3838293017686006	1	0:00:01.473842
6	1	5	0.2580656525347254	0	0:00:01.472792
7	6	4	0.2553735652792718	0	0:00:01.471226
8	3	5	0.3838293017686006	0	0:00:01.470912
9	1	9	0.3736756310619156	0	0:00:01.472889
10	0	-1	0.0	0	0:00:01.472276
11	9	9	0.3838293017686006	1	0:00:01.471066
12	5	6	0.3432715032215787	0	0:00:01.471094
13	7	7	0.3838293017686006	1	0:00:01.474337
14	9	9	0.3838293017686006	1	0:00:01.474294
15	8	8	0.3838293017686006	1	0:00:01.474229
16	5	5	0.3838293017686006	1	0:00:01.476399
17	7	7	0.3838293017686006	1	0:00:01.480217
18	8	8	0.3838293017686006	1	0:00:01.476314
19	6	6	0.3838293017686006	1	0:00:01.477871
20	7	7	0.3406557630156044	1	0:00:01.480929
21	0	0	0.3838293017686006	1	0:00:01.476828
22	4	0	0.3838293017686006	0	0:00:01.479811
23	9	9	0.3838293017686006	1	0:00:01.482564
24	5	2	0.3838293017686006	0	0:00:01.482299
25	2	2	0.3838293017686006	1	0:00:01.486559
26	4	4	0.3838293017686006	1	0:00:01.484652
27	0	7	0.3838293017686006	0	0:00:01.486483
28	9	1	0.27874037393414314	0	0:00:01.484629
29	6	6	0.3838293017686006	1	0:00:01.486390
30	6	6	0.3838293017686006	1	0:00:01.487650
31	5	2	0.3838293017686006	0	0:00:01.483925
32	4	4	0.08331743321288937	1	0:00:01.483883
33	5	3	0.3838293017686006	0	0:00:01.483623
34	9	9	0.3838293017686006	1	0:00:01.486062
35	2	1	0.037320910974940266	0	0:00:01.487350
36	4	2	0.28315737979904493	0	0:00:01.484325
37	1	9	0.34611687088294374	0	0:00:01.486816
38	9	9	0.11157910938519164	1	0:00:01.488097
39	5	8	0.06477213095460355	0	0:00:01.485596
40	4	4	0.010101893746925075	1	0:00:01.492635
41	6	6	0.3838293017686006	1	0:00:01.488547
42	5	5	0.3838293017686006	1	0:00:01.489748
43	6	4	0.3838293017686006	0	0:00:01.486742
44	0	0	0.27327665993058825	1	0:00:01.490870
45	9	9	0.3838293017686006	1	0:00:01.488538
46	3	5	0.23289379046714442	0	0:00:01.488352
47	9	8	0.3838293017686006	0	0:00:01.494953
48	7	4	0.3838293017686006	0	0:00:01.493334
49	6	4	0.3838293017686006	0	0:00:01.488147
50	9	9	0.3838293017686006	1	0:00:01.490823
51	8	8	0.3838293017686006	1	0:00:01.496668
52	0	6	0.3838293017686006	0	0:00:01.489482
53	3	5	0.2157762840907975	0	0:00:01.498679
54	8	8	0.3838293017686006	1	0:00:01.494264
55	8	8	0.3838293017686006	1	0:00:01.497574
56	7	5	0.3838293017686006	0	0:00:01.497211
57	7	6	0.2295083393342519	0	0:00:01.489697
58	4	8	0.19971588966930867	0	0:00:01.493374
59	6	2	0.06679385839143619	0	0:00:01.495919
60	7	7	0.2843312870432559	1	0:00:01.498303
61	3	3	0.3666939295689941	1	0:00:01.496397
62	6	6	0.3838293017686006	1	0:00:01.496255
63	3	9	0.3838293017686006	0	0:00:01.498846
64	6	6	0.3838293017686006	1	0:00:01.495347
65	2	4	0.3838293017686006	0	0:00:01.498868
66	1	1	0.3838293017686006	1	0:00:01.497945
67	2	2	0.36121873756609385	1	0:00:01.498673
68	3	5	0.3838293017686006	0	0:00:01.495296
69	7	9	0.3838293017686006	0	0:00:01.497512
70	2	8	0.02164762671544084	0	0:00:01.498081
71	6	6	0.3838293017686006	1	0:00:01.497918
72	8	8	0.3838293017686006	1	0:00:01.497969
73	8	8	0.3838293017686006	1	0:00:01.498237
74	0	8	0.25439891179455976	0	0:00:01.499190
75	2	2	0.3838293017686006	1	0:00:01.498525
76	9	9	0.3838293017686006	1	0:00:01.499134
77	3	5	0.3838293017686006	0	0:00:01.498702
78	3	6	0.32996010683000093	0	0:00:01.500787
79	8	8	0.3838293017686006	1	0:00:01.498754
80	8	8	0.3838293017686006	1	0:00:01.498910
81	1	1	0.3838293017686006	1	0:00:01.498704
82	1	1	0.3838293017686006	1	0:00:01.498252
83	7	7	0.00819721968365883	1	0:00:01.498011
84	2	2	0.3838293017686006	1	0:00:01.498063
85	5	7	0.3838293017686006	0	0:00:01.498078
86	2	2	0.3838293017686006	1	0:00:01.498299
87	7	8	0.18235384836646312	0	0:00:01.498238
88	8	8	0.3838293017686006	1	0:00:01.498174
89	9	8	0.3838293017686006	0	0:00:01.498598
90	0	0	0.3838293017686006	1	0:00:01.499024
91	3	4	0.14885393116088724	0	0:00:01.499780
92	8	8	0.3838293017686006	1	0:00:01.499479
93	6	2	0.3838293017686006	0	0:00:01.499632
94	4	4	0.3838293017686006	1	0:00:01.499382
95	6	6	0.04566777716570312	1	0:00:01.498680
96	6	6	0.19571868544551416	1	0:00:01.498653
97	0	8	0.3838293017686006	0	0:00:01.499237
98	0	0	0.3838293017686006	1	0:00:01.500291
99	7	7	0.3838293017686006	1	0:00:01.500635
