idx	label	predict	radius	correct	time
0	3	1.0	0.1085331305926439	0	0:00:04.840254
1	8	9.0	0.8349938011337534	0	0:00:04.553201
2	8	9.0	0.3551295409718837	0	0:00:04.550727
3	0	-1	0.0	0	0:00:04.555474
4	6	-1	0.0	0	0:00:04.548695
5	6	-1	0.0	0	0:00:04.551976
6	1	5.0	0.7191745954243612	0	0:00:04.554146
7	6	-1	0.0	0	0:00:04.553534
8	3	5.0	0.22541072992951414	0	0:00:04.556807
9	1	9.0	1.4554988249801482	0	0:00:04.563884
10	0	-1	0.0	0	0:00:04.566954
11	9	9.0	1.8499331420188694	1	0:00:04.569333
12	5	1.0	0.10186021328204799	0	0:00:04.575667
13	7	7.0	0.6898049117361391	1	0:00:04.576939
14	9	9.0	0.9839761314946408	1	0:00:04.579780
15	8	-1	0.0	0	0:00:04.581184
16	5	5.0	0.772742548441694	1	0:00:04.584298
17	7	9.0	0.7299657007992364	0	0:00:04.583464
18	8	8.0	0.34740761513624785	1	0:00:04.579947
19	6	-1	0.0	0	0:00:04.581331
20	7	7.0	0.3388703920050769	1	0:00:04.585104
21	0	0.0	0.601476737514381	1	0:00:04.580629
22	4	1.0	0.2256717156550877	0	0:00:04.581567
23	9	9.0	2.5012796921859253	1	0:00:04.580603
24	5	-1	0.0	0	0:00:04.580917
25	2	9.0	0.35201679283326814	0	0:00:04.580576
26	4	5.0	0.9351969413218303	0	0:00:04.581456
27	0	9.0	0.4580256617849738	0	0:00:04.578570
28	9	9.0	1.2326654289403698	1	0:00:04.580382
29	6	-1	0.0	0	0:00:04.577325
30	6	-1	0.0	0	0:00:04.579539
31	5	-1	0.0	0	0:00:04.578280
32	4	1.0	0.07181430285138643	0	0:00:04.582359
33	5	1.0	0.06453719855248173	0	0:00:04.581579
34	9	9.0	2.57086541761738	1	0:00:04.582338
35	2	1.0	0.08966088796946638	0	0:00:04.579621
36	4	9.0	0.32287320561054983	0	0:00:04.583126
37	1	9.0	1.374795027880431	0	0:00:04.579410
38	9	9.0	1.8192738590455535	1	0:00:04.578550
39	5	-1	0.0	0	0:00:04.579320
40	4	1.0	0.22930042649542573	0	0:00:04.577643
41	6	6.0	0.9138815190924893	1	0:00:04.578393
42	5	5.0	0.6530188977974845	1	0:00:04.578786
43	6	1.0	0.09871105013424415	0	0:00:04.579043
44	0	9.0	0.42057201881484746	0	0:00:04.578702
45	9	9.0	2.4900939086118794	1	0:00:04.580530
46	3	5.0	0.31930916808230775	0	0:00:04.583095
47	9	9.0	0.551192959554942	1	0:00:04.580420
48	7	-1	0.0	0	0:00:04.579766
49	6	-1	0.0	0	0:00:04.577650
50	9	9.0	1.8457732948266847	1	0:00:04.580003
51	8	9.0	0.8627953450485949	0	0:00:04.579876
52	0	-1	0.0	0	0:00:04.578093
53	3	9.0	0.13231672142449943	0	0:00:04.577341
54	8	-1	0.0	0	0:00:04.576420
55	8	9.0	0.45675463871572985	0	0:00:04.578055
56	7	5.0	1.1708134066820826	0	0:00:04.577058
57	7	1.0	0.6254323128020629	0	0:00:04.575345
58	4	9.0	0.6279545446383158	0	0:00:04.576807
59	6	-1	0.0	0	0:00:04.578624
60	7	7.0	0.8361194918095962	1	0:00:04.578322
61	3	-1	0.0	0	0:00:04.579621
62	6	1.0	0.3994491780416906	0	0:00:04.576759
63	3	9.0	2.1343997802874926	0	0:00:04.578233
64	6	-1	0.0	0	0:00:04.581701
65	2	-1	0.0	0	0:00:04.578904
66	1	1.0	0.23552384811885788	1	0:00:04.581491
67	2	0.0	0.6413013322600781	0	0:00:04.577164
68	3	-1	0.0	0	0:00:04.577233
69	7	9.0	2.1415532654631573	0	0:00:04.577600
70	2	-1	0.0	0	0:00:04.578729
71	6	9.0	0.16452967197507734	0	0:00:04.577472
72	8	9.0	0.6727508104710394	0	0:00:04.578941
73	8	9.0	0.20462243770364938	0	0:00:04.577609
74	0	9.0	0.8549605793258641	0	0:00:04.576962
75	2	9.0	0.6164654484732978	0	0:00:04.581599
76	9	9.0	1.203651502020974	1	0:00:04.579440
77	3	-1	0.0	0	0:00:04.578617
78	3	5.0	0.08911917291500938	0	0:00:04.578215
79	8	0.0	0.5705146610842814	0	0:00:04.576758
80	8	9.0	0.24058157287818796	0	0:00:04.579455
81	1	1.0	2.439536447966198	1	0:00:04.577720
82	1	1.0	2.1473496939718597	1	0:00:04.579857
83	7	-1	0.0	0	0:00:04.580415
84	2	0.0	0.008827910708383688	0	0:00:04.579983
85	5	7.0	0.25784639385730973	0	0:00:04.580739
86	2	9.0	0.2971742431582617	0	0:00:04.579274
87	7	9.0	0.9177506440832062	0	0:00:04.577419
88	8	9.0	0.7973539646514147	0	0:00:04.577338
89	9	1.0	0.09428788692956551	0	0:00:04.579012
90	0	-1	0.0	0	0:00:04.576625
91	3	-1	0.0	0	0:00:04.578368
92	8	9.0	0.0469134495087511	0	0:00:04.578870
93	6	9.0	0.981727235097618	0	0:00:04.578124
94	4	9.0	0.47526291807648696	0	0:00:04.580142
95	6	9.0	0.3591275613055877	0	0:00:04.579659
96	6	-1	0.0	0	0:00:04.580269
97	0	-1	0.0	0	0:00:04.580756
98	0	0.0	2.4333523799558643	1	0:00:04.579345
99	7	9.0	0.16802836331041812	0	0:00:04.578733
