idx	label	predict	radius	correct	time
0	3	-1	0.0	0	0:00:44.068709
1	8	8	1.534717376603203	1	0:00:42.962354
2	8	8	1.6555180894134507	1	0:00:42.997233
3	0	0	1.8011680126141856	1	0:00:43.004180
4	6	4	0.03718567879393681	0	0:00:43.024659
5	6	6	1.5658725677951524	1	0:00:43.083389
6	1	-1	0.0	0	0:00:43.205750
7	6	-1	0.0	0	0:00:43.203113
8	3	5	0.643858379976556	0	0:00:43.220893
9	1	1	0.2587729936946806	1	0:00:43.234138
10	0	0	1.5814659092761996	1	0:00:43.221668
11	9	1	0.17688170626804747	0	0:00:43.235312
12	5	-1	0.0	0	0:00:43.236106
13	7	7	3.180558199875955	1	0:00:43.250689
14	9	1	0.16954332361855745	0	0:00:43.232325
15	8	8	0.8396248271694808	1	0:00:43.244944
16	5	5	2.097856635030255	1	0:00:43.253520
17	7	3	0.4173160710230471	0	0:00:43.248340
18	8	8	0.9213752099950447	1	0:00:43.234591
19	6	6	1.1685903696976867	1	0:00:43.240010
20	7	-1	0.0	0	0:00:43.229963
21	0	0	2.6606367086752876	1	0:00:43.233922
22	4	0	2.5168543003369197	0	0:00:43.225872
23	9	9	0.8624421713945154	1	0:00:43.247389
24	5	4	0.21249876106712356	0	0:00:43.233887
25	2	2	0.5876950707492224	1	0:00:43.241908
26	4	4	0.209212619084483	1	0:00:43.242361
27	0	7	0.8717859326159415	0	0:00:43.245448
28	9	9	0.3236607602120625	1	0:00:43.250951
29	6	6	1.8470341303207547	1	0:00:43.231026
30	6	6	0.3961719374384892	1	0:00:43.225098
31	5	2	0.06329925406423394	0	0:00:43.241528
32	4	-1	0.0	0	0:00:43.238390
33	5	-1	0.0	0	0:00:43.250681
34	9	9	2.4520966389163914	1	0:00:43.249185
35	2	1	0.9578137544469231	0	0:00:43.250196
36	4	-1	0.0	0	0:00:43.243520
37	1	9	0.4220403940114984	0	0:00:43.248618
38	9	-1	0.0	0	0:00:43.248118
39	5	5	1.639416816880906	1	0:00:43.252085
40	4	-1	0.0	0	0:00:43.253923
41	6	6	1.8722764721087437	1	0:00:43.239235
42	5	5	0.9609386188986854	1	0:00:43.245324
43	6	-1	0.0	0	0:00:43.237912
44	0	0	0.38683285089875913	1	0:00:43.240173
45	9	9	0.8686137003896309	1	0:00:43.255192
46	3	5	0.3842327691859777	0	0:00:43.251891
47	9	-1	0.0	0	0:00:43.246005
48	7	4	0.938120838064508	0	0:00:43.237088
49	6	6	0.8816172161999042	1	0:00:43.225725
50	9	9	2.5591348924012296	1	0:00:43.251197
51	8	8	0.7307855443831854	1	0:00:43.236893
52	0	6	0.6983286479521787	0	0:00:43.243979
53	3	5	0.16104476248491528	0	0:00:43.246686
54	8	8	3.1361297435403737	1	0:00:43.246573
55	8	8	1.825651184273902	1	0:00:43.227203
56	7	5	0.5304546976006932	0	0:00:43.252321
57	7	1	0.15466617362590135	0	0:00:43.231681
58	4	-1	0.0	0	0:00:43.238960
59	6	-1	0.0	0	0:00:43.241542
60	7	7	0.8402356732979256	1	0:00:43.240017
61	3	3	0.5584596229011938	1	0:00:43.245793
62	6	-1	0.0	0	0:00:43.241600
63	3	9	2.67302189642246	0	0:00:43.254095
64	6	6	1.3829900288282815	1	0:00:43.240909
65	2	-1	0.0	0	0:00:43.236884
66	1	1	0.5466673825765157	1	0:00:43.253172
67	2	2	0.19570722118139905	1	0:00:43.252461
68	3	3	0.2825120431399037	1	0:00:43.248746
69	7	9	1.6918745733983802	0	0:00:43.247956
70	2	0	0.8825491502706745	0	0:00:43.238574
71	6	6	0.5874256610512768	1	0:00:43.241682
72	8	8	1.9214920088703473	1	0:00:43.241366
73	8	8	0.9412263883806488	1	0:00:43.234593
74	0	0	0.06862778033373126	1	0:00:43.242813
75	2	2	0.18356624161718318	1	0:00:43.245125
76	9	9	0.34681815118417436	1	0:00:43.254484
77	3	5	0.05194498096224767	0	0:00:43.253699
78	3	3	0.2620210860500558	1	0:00:43.245205
79	8	8	1.830986170347509	1	0:00:43.240286
80	8	8	0.04260615419134951	1	0:00:43.228001
81	1	1	3.1487451686425136	1	0:00:43.239355
82	1	1	2.896924075373067	1	0:00:43.240227
83	7	-1	0.0	0	0:00:43.249061
84	2	2	2.219775748322324	1	0:00:43.245914
85	5	7	2.932601887937175	0	0:00:43.247889
86	2	2	0.2575005110303437	1	0:00:43.245226
87	7	8	1.3215216372855316	0	0:00:43.234000
88	8	8	1.5669175830286755	1	0:00:43.233003
89	9	-1	0.0	0	0:00:43.243292
90	0	0	1.2621934888118804	1	0:00:43.241439
91	3	4	0.07121741409412553	0	0:00:43.246414
92	8	8	3.090546222854188	1	0:00:43.237547
