idx	label	predict	radius	correct	time
0	3	3	0.3838293017686006	1	0:01:46.416190
1	8	8	0.3838293017686006	1	0:01:47.518374
2	8	8	0.3838293017686006	1	0:01:47.782271
3	0	0	0.3838293017686006	1	0:01:47.791426
4	6	6	0.3736756310619156	1	0:01:47.768702
5	6	6	0.3838293017686006	1	0:01:47.699960
6	1	1	0.3838293017686006	1	0:01:47.734513
7	6	6	0.3838293017686006	1	0:01:47.693691
8	3	3	0.3838293017686006	1	0:01:47.692011
9	1	9	0.0502441373972311	0	0:01:47.720917
10	0	0	0.3838293017686006	1	0:01:47.665845
11	9	9	0.3838293017686006	1	0:01:47.681403
12	5	3	0.3838293017686006	0	0:01:47.664741
13	7	7	0.3838293017686006	1	0:01:47.692258
14	9	9	0.3838293017686006	1	0:01:47.701158
15	8	8	0.3838293017686006	1	0:01:47.675356
16	5	5	0.3838293017686006	1	0:01:47.692668
17	7	7	0.3838293017686006	1	0:01:47.688900
18	8	8	0.3838293017686006	1	0:01:47.653540
19	6	6	0.3838293017686006	1	0:01:47.699533
20	7	7	0.3838293017686006	1	0:01:47.735661
21	0	0	0.3838293017686006	1	0:01:47.681604
22	4	0	0.3736756310619156	0	0:01:47.667188
23	9	9	0.3838293017686006	1	0:01:47.760625
24	5	4	0.3566578542535316	0	0:01:47.716588
25	2	2	0.3838293017686006	1	0:01:47.742083
26	4	4	0.27927001779770805	1	0:01:47.714196
27	0	0	0.3838293017686006	1	0:01:47.726159
28	9	9	0.3838293017686006	1	0:01:47.745802
29	6	6	0.3838293017686006	1	0:01:47.718134
30	6	6	0.3838293017686006	1	0:01:47.703136
31	5	5	0.3838293017686006	1	0:01:47.651797
32	4	4	0.3838293017686006	1	0:01:47.639941
33	5	5	0.3838293017686006	1	0:01:47.705333
34	9	9	0.3838293017686006	1	0:01:47.679079
35	2	3	0.3189233374263954	0	0:01:47.704071
36	4	4	0.3566578542535316	1	0:01:47.686271
37	1	9	0.3838293017686006	0	0:01:47.696759
38	9	9	0.3838293017686006	1	0:01:47.713873
39	5	5	0.3838293017686006	1	0:01:47.693667
40	4	4	0.3838293017686006	1	0:01:47.696809
41	6	6	0.3838293017686006	1	0:01:47.687890
42	5	5	0.3838293017686006	1	0:01:47.709739
43	6	6	0.3838293017686006	1	0:01:47.668526
44	0	0	0.3838293017686006	1	0:01:47.655892
45	9	9	0.3838293017686006	1	0:01:47.687139
46	3	3	0.3838293017686006	1	0:01:47.682267
47	9	2	0.11549742023444569	0	0:01:47.689313
48	7	7	0.3838293017686006	1	0:01:47.661751
49	6	6	0.3838293017686006	1	0:01:47.645764
50	9	9	0.3838293017686006	1	0:01:47.673479
51	8	8	0.3838293017686006	1	0:01:47.664303
52	0	0	0.3838293017686006	1	0:01:47.661634
53	3	3	0.12701370991654373	1	0:01:47.670361
54	8	8	0.3838293017686006	1	0:01:47.632762
55	8	8	0.3838293017686006	1	0:01:47.608896
56	7	7	0.3838293017686006	1	0:01:47.712729
57	7	3	0.3838293017686006	0	0:01:47.666245
58	4	3	0.2998292519182963	0	0:01:47.665752
59	6	6	0.3838293017686006	1	0:01:47.670898
60	7	7	0.3838293017686006	1	0:01:47.674888
61	3	3	0.3838293017686006	1	0:01:47.682464
62	6	6	0.3838293017686006	1	0:01:47.654704
63	3	3	0.2907082243208163	1	0:01:47.672228
64	6	6	0.3838293017686006	1	0:01:47.677640
65	2	2	0.3838293017686006	1	0:01:47.666874
66	1	1	0.3838293017686006	1	0:01:47.671561
67	2	2	0.3838293017686006	1	0:01:47.697764
68	3	3	0.3666939295689941	1	0:01:47.682298
69	7	7	0.3838293017686006	1	0:01:47.672051
70	2	0	0.09854778459547456	0	0:01:47.628785
71	6	6	0.3838293017686006	1	0:01:47.684779
72	8	8	0.3838293017686006	1	0:01:47.648148
73	8	8	0.3838293017686006	1	0:01:47.670783
74	0	0	0.3838293017686006	1	0:01:47.681121
75	2	2	0.3838293017686006	1	0:01:47.711859
76	9	9	0.3838293017686006	1	0:01:47.724392
77	3	3	0.3838293017686006	1	0:01:47.718382
78	3	3	0.3838293017686006	1	0:01:47.709310
79	8	8	0.3838293017686006	1	0:01:47.654325
80	8	8	0.3838293017686006	1	0:01:47.438882
81	1	1	0.3838293017686006	1	0:01:47.002505
82	1	1	0.3838293017686006	1	0:01:46.928662
83	7	7	0.3838293017686006	1	0:01:46.903988
84	2	2	0.3838293017686006	1	0:01:46.886437
85	5	7	0.31264207995259996	0	0:01:46.890349
86	2	2	0.3736756310619156	1	0:01:46.917952
87	7	7	0.3838293017686006	1	0:01:46.868495
88	8	8	0.3838293017686006	1	0:01:46.892344
89	9	9	0.3838293017686006	1	0:01:46.879935
90	0	0	0.3838293017686006	1	0:01:46.867614
91	3	3	0.3838293017686006	1	0:01:46.874534
92	8	8	0.3838293017686006	1	0:01:46.883931
93	6	6	0.3838293017686006	1	0:01:46.883691
94	4	4	0.3838293017686006	1	0:01:46.847545
95	6	6	0.3838293017686006	1	0:01:46.896370
96	6	6	0.3838293017686006	1	0:01:46.903806
97	0	0	0.3838293017686006	1	0:01:46.832269
98	0	0	0.3838293017686006	1	0:01:46.914598
99	7	7	0.3838293017686006	1	0:01:46.902730
