idx	label	predict	radius	correct	time
0	3	3	1.9039813197515207	1	0:04:25.303653
1	8	8	3.8114565633899145	1	0:04:26.651719
2	8	8	3.8114565633899145	1	0:04:26.732694
3	0	0	3.8114565633899145	1	0:04:26.585602
4	6	6	0.5838973929913072	1	0:04:26.438918
5	6	6	3.8114565633899145	1	0:04:26.451087
6	1	-1	0.0	0	0:04:26.518662
7	6	6	1.1765067587541647	1	0:04:26.392809
8	3	5	1.271312947587409	0	0:04:26.410931
9	1	9	0.36513755613274634	0	0:04:26.451405
10	0	0	3.8114565633899145	1	0:04:26.367462
11	9	1	1.7603084818430172	0	0:04:26.409517
12	5	5	0.6314747031532679	1	0:04:26.378977
13	7	7	3.8114565633899145	1	0:04:26.441037
14	9	1	0.8522658411913471	0	0:04:26.392094
15	8	8	2.485169197227707	1	0:04:26.400537
16	5	5	3.8114565633899145	1	0:04:26.497111
17	7	3	2.853119447679536	0	0:04:26.424435
18	8	8	1.313471027976127	1	0:04:26.353291
19	6	6	3.739126668543357	1	0:04:26.452386
20	7	9	0.7260828491393536	0	0:04:26.459204
21	0	0	3.8114565633899145	1	0:04:26.389585
22	4	0	3.8114565633899145	0	0:04:26.371713
23	9	9	3.8114565633899145	1	0:04:26.469961
24	5	4	3.2707932638084527	0	0:04:26.390785
25	2	2	2.17287766494245	1	0:04:26.435908
26	4	4	1.5088931359844806	1	0:04:26.416264
27	0	7	2.622463276687739	0	0:04:26.415049
28	9	9	3.1530771634954227	1	0:04:26.438114
29	6	6	3.8114565633899145	1	0:04:26.397299
30	6	6	2.7331049202010123	1	0:04:26.396214
31	5	4	0.30186320478458784	0	0:04:26.402212
32	4	4	2.059569009867092	1	0:04:26.354124
33	5	3	2.132438386374351	0	0:04:26.433457
34	9	9	3.8114565633899145	1	0:04:26.415231
35	2	1	0.9848904908039342	0	0:04:26.408534
36	4	6	1.5992010541356156	0	0:04:26.344284
37	1	9	0.8620026209773394	0	0:04:26.399460
38	9	9	2.5750927339897562	1	0:04:26.379806
39	5	5	3.4206044195132206	1	0:04:26.388802
40	4	-1	0.0	0	0:04:26.384278
41	6	6	3.8114565633899145	1	0:04:26.315424
42	5	5	3.525241972296861	1	0:04:26.377643
43	6	6	2.155521035757515	1	0:04:26.312135
44	0	0	2.48458463283717	1	0:04:26.317205
45	9	9	3.4598486830913835	1	0:04:26.389611
46	3	5	0.008846434725237417	0	0:04:26.380509
47	9	3	0.6797232508926293	0	0:04:26.386128
48	7	4	3.2916630253561436	0	0:04:26.338522
49	6	6	3.739126668543357	1	0:04:26.324149
50	9	9	3.8114565633899145	1	0:04:26.412066
