idx	label	predict	radius	correct	time
0	3	3	0.9528641408474786	1	0:04:28.087110
1	8	8	0.9528641408474786	1	0:04:31.075479
2	8	8	0.9528641408474786	1	0:04:30.841338
3	0	0	0.9528641408474786	1	0:04:31.017167
4	6	6	0.8917283195552625	1	0:04:30.640400
5	6	6	0.9528641408474786	1	0:04:30.343363
6	1	1	0.9528641408474786	1	0:04:30.423775
7	6	6	0.9528641408474786	1	0:04:30.184856
8	3	3	0.9528641408474786	1	0:04:30.620854
9	1	9	0.9528641408474786	0	0:04:30.744433
10	0	0	0.9528641408474786	1	0:04:30.784363
11	9	9	0.9528641408474786	1	0:04:30.742403
12	5	3	0.025540724483815242	0	0:04:30.674673
13	7	7	0.9528641408474786	1	0:04:30.650962
14	9	9	0.9528641408474786	1	0:04:30.613590
15	8	8	0.9528641408474786	1	0:04:30.704491
16	5	3	0.9127474360743156	0	0:04:30.612165
17	7	7	0.9528641408474786	1	0:04:30.621586
18	8	8	0.9528641408474786	1	0:04:30.595386
19	6	6	0.9528641408474786	1	0:04:30.722912
20	7	7	0.9528641408474786	1	0:04:30.723276
21	0	0	0.9528641408474786	1	0:04:30.774058
22	4	0	0.9528641408474786	0	0:04:30.597717
23	9	9	0.9528641408474786	1	0:04:30.553774
24	5	4	0.8522078432728611	0	0:04:30.769943
25	2	3	0.9528641408474786	0	0:04:30.761637
26	4	4	0.9528641408474786	1	0:04:30.581609
27	0	0	0.9528641408474786	1	0:04:30.775490
28	9	9	0.9528641408474786	1	0:04:30.645875
29	6	6	0.9528641408474786	1	0:04:30.929564
30	6	6	0.9528641408474786	1	0:04:30.596703
31	5	2	0.27751331753280195	0	0:04:30.633251
32	4	4	0.8522078432728611	1	0:04:30.717582
33	5	3	0.9528641408474786	0	0:04:30.834551
34	9	9	0.9528641408474786	1	0:04:30.555623
35	2	3	0.9528641408474786	0	0:04:30.893289
36	4	7	0.22902366998740764	0	0:04:30.663263
37	1	1	0.9528641408474786	1	0:04:30.640927
38	9	9	0.9528641408474786	1	0:04:30.519205
39	5	5	0.9528641408474786	1	0:04:30.638200
40	4	4	0.9528641408474786	1	0:04:30.968749
41	6	6	0.9528641408474786	1	0:04:30.762262
42	5	5	0.9528641408474786	1	0:04:30.671629
43	6	6	0.9528641408474786	1	0:04:30.444077
44	0	0	0.8001238946659358	1	0:04:30.822303
45	9	9	0.9528641408474786	1	0:04:30.955512
46	3	3	0.9528641408474786	1	0:04:30.654521
47	9	3	0.16478201048129665	0	0:04:30.472778
48	7	7	0.9528641408474786	1	0:04:30.464876
49	6	6	0.9528641408474786	1	0:04:30.810200
50	9	9	0.9528641408474786	1	0:04:30.691289
51	8	8	0.9528641408474786	1	0:04:30.606968
52	0	0	0.9528641408474786	1	0:04:30.328158
53	3	3	0.9528641408474786	1	0:04:30.823539
54	8	8	0.9528641408474786	1	0:04:30.684501
55	8	8	0.9528641408474786	1	0:04:30.724372
56	7	5	0.9528641408474786	0	0:04:30.831382
57	7	3	0.5331728405165747	0	0:04:30.670700
58	4	3	0.6419386644926418	0	0:04:30.886971
59	6	6	0.9528641408474786	1	0:04:30.633125
60	7	7	0.9528641408474786	1	0:04:30.944320
61	3	3	0.9528641408474786	1	0:04:30.688326
62	6	6	0.9528641408474786	1	0:04:30.773607
63	3	3	0.41145630848275894	1	0:04:30.461749
64	6	6	0.9528641408474786	1	0:04:30.971242
65	2	2	0.9528641408474786	1	0:04:30.756253
66	1	1	0.9528641408474786	1	0:04:30.492499
67	2	2	0.9528641408474786	1	0:04:30.506570
68	3	3	0.9528641408474786	1	0:04:30.627734
69	7	7	0.9528641408474786	1	0:04:30.635895
70	2	0	0.9127474360743156	0	0:04:30.708369
71	6	6	0.8467156802299264	1	0:04:30.423664
72	8	8	0.9528641408474786	1	0:04:30.872295
73	8	8	0.9528641408474786	1	0:04:30.615796
74	0	0	0.9528641408474786	1	0:04:30.606599
75	2	2	0.9528641408474786	1	0:04:30.868430
76	9	9	0.9528641408474786	1	0:04:30.678763
77	3	3	0.9528641408474786	1	0:04:30.928141
78	3	3	0.9528641408474786	1	0:04:30.736761
79	8	8	0.9528641408474786	1	0:04:30.562800
80	8	8	0.9528641408474786	1	0:04:30.528982
81	1	1	0.9528641408474786	1	0:04:30.575635
82	1	1	0.9528641408474786	1	0:04:30.628080
83	7	7	0.9528641408474786	1	0:04:31.048075
84	2	2	0.9528641408474786	1	0:04:30.648190
85	5	7	0.7800316952763395	0	0:04:30.721626
86	2	2	0.9528641408474786	1	0:04:30.806369
87	7	3	0.736360441526591	0	0:04:30.625731
88	8	8	0.9528641408474786	1	0:04:30.768877
89	9	9	0.9528641408474786	1	0:04:30.574398
90	0	0	0.9528641408474786	1	0:04:30.567693
91	3	3	0.8193922458017873	1	0:04:30.653709
92	8	8	0.9528641408474786	1	0:04:30.621120
93	6	6	0.9528641408474786	1	0:04:30.679888
94	4	4	0.9528641408474786	1	0:04:30.455778
95	6	6	0.9528641408474786	1	0:04:30.712598
96	6	6	0.9528641408474786	1	0:04:30.596486
97	0	0	0.9528641408474786	1	0:04:30.768502
98	0	0	0.9528641408474786	1	0:04:30.819651
99	7	7	0.9528641408474786	1	0:04:31.062996
100	4	4	0.6818506988572798	1	0:04:30.725894
101	5	5	0.9528641408474786	1	0:04:30.648920
102	6	6	0.9528641408474786	1	0:04:30.866394
103	3	3	0.9528641408474786	1	0:04:30.659580
104	1	1	0.9528641408474786	1	0:04:30.891041
105	1	1	0.9528641408474786	1	0:04:30.712440
106	3	0	0.9528641408474786	0	0:04:30.866091
107	6	6	0.9528641408474786	1	0:04:30.713237
108	8	8	0.9528641408474786	1	0:04:30.714054
109	7	7	0.9528641408474786	1	0:04:30.500895
110	4	4	0.9528641408474786	1	0:04:30.584046
111	0	0	0.9528641408474786	1	0:04:30.677166
112	6	6	0.9528641408474786	1	0:04:30.904812
113	2	2	0.9528641408474786	1	0:04:30.739566
114	1	1	0.9528641408474786	1	0:04:30.568531
115	3	3	0.9528641408474786	1	0:04:30.640705
116	0	0	0.9528641408474786	1	0:04:30.581848
