idx	label	predict	radius	correct	time
0	3	3	0.7631929189623119	1	0:01:47.375600
1	8	8	1.4551790142213852	1	0:01:48.561807
2	8	8	1.5992887573691692	1	0:01:48.640780
3	0	0	1.5278913732041421	1	0:01:48.649194
4	6	6	0.3191124225603352	1	0:01:48.593283
5	6	6	1.5992887573691692	1	0:01:48.603477
6	1	1	0.7523213340807613	1	0:01:48.615607
7	6	6	1.1528323221668342	1	0:01:48.563373
8	3	3	0.9511976284664764	1	0:01:48.591807
9	1	9	0.8099828544548946	0	0:01:48.594792
10	0	0	1.3232609841951901	1	0:01:48.557951
11	9	9	1.5992887573691692	1	0:01:48.606963
12	5	6	0.5038759372191589	0	0:01:48.577190
13	7	7	1.5992887573691692	1	0:01:48.651407
14	9	9	1.5992887573691692	1	0:01:48.625801
15	8	8	1.5992887573691692	1	0:01:48.627189
16	5	5	1.5992887573691692	1	0:01:48.641326
17	7	7	1.5050780731920577	1	0:01:48.588108
18	8	8	1.5992887573691692	1	0:01:48.567765
19	6	6	1.5992887573691692	1	0:01:48.598805
20	7	7	1.5992887573691692	1	0:01:48.599169
21	0	0	1.5992887573691692	1	0:01:48.604843
22	4	0	1.2640121878220187	0	0:01:48.557186
23	9	9	1.5992887573691692	1	0:01:48.599968
24	5	4	0.6779499356483043	0	0:01:48.588728
25	2	2	0.9606059314815509	1	0:01:48.600989
26	4	4	0.8425165532364958	1	0:01:48.585776
27	0	0	0.4504357054307995	1	0:01:48.595709
28	9	9	1.5992887573691692	1	0:01:48.601534
29	6	6	1.5992887573691692	1	0:01:48.558709
30	6	6	1.3232609841951901	1	0:01:48.564931
31	5	-1	0.0	0	0:01:48.572242
32	4	4	0.1255543405299314	1	0:01:48.551729
33	5	5	0.7327877615508649	1	0:01:48.589431
34	9	9	1.5992887573691692	1	0:01:48.603912
35	2	3	0.04284773185394288	0	0:01:48.592814
36	4	7	0.18552845470220664	0	0:01:48.588206
37	1	9	1.2564946705209805	0	0:01:48.618378
38	9	9	1.5992887573691692	1	0:01:48.602371
39	5	5	0.7740147794819374	1	0:01:48.572825
40	4	4	1.4421536286789323	1	0:01:48.599942
41	6	6	1.5992887573691692	1	0:01:48.580518
42	5	5	1.5992887573691692	1	0:01:48.600142
43	6	6	1.267897354339534	1	0:01:48.579425
44	0	8	0.4704976046942331	0	0:01:48.576469
45	9	9	1.5992887573691692	1	0:01:48.585810
46	3	3	1.556981796091315	1	0:01:48.566241
47	9	8	0.515826913398459	0	0:01:48.576111
48	7	7	1.556981796091315	1	0:01:48.573156
49	6	6	1.3748337784583373	1	0:01:48.550368
50	9	9	0.6171390836449198	1	0:01:48.621129
51	8	8	1.1897346107982845	1	0:01:48.572272
52	0	-1	0.0	0	0:01:48.573096
53	3	3	0.2287485810259845	1	0:01:48.595611
54	8	8	1.5992887573691692	1	0:01:48.575376
55	8	8	1.5992887573691692	1	0:01:48.537557
56	7	5	0.9381210151474382	0	0:01:48.633269
57	7	-1	0.0	0	0:01:48.575627
58	4	2	0.21698435660523446	0	0:01:48.578393
59	6	4	0.15789273626179243	0	0:01:48.576306
60	7	7	1.5992887573691692	1	0:01:48.575076
61	3	3	0.26139421445884864	1	0:01:48.578736
62	6	6	1.5992887573691692	1	0:01:48.568229
63	3	9	1.5992887573691692	0	0:01:48.582184
64	6	6	1.5992887573691692	1	0:01:48.549421
65	2	2	1.3534189534544843	1	0:01:48.570149
66	1	1	0.4479328281741199	1	0:01:48.573150
67	2	2	1.5992887573691692	1	0:01:48.588839
68	3	3	0.6856038364830526	1	0:01:48.579768
69	7	7	0.954577345791368	1	0:01:48.591369
70	2	-1	0.0	0	0:01:48.546152
71	6	6	1.2602126492928531	1	0:01:48.557999
72	8	8	1.5992887573691692	1	0:01:48.555617
73	8	8	1.5992887573691692	1	0:01:48.548987
74	0	-1	0.0	0	0:01:48.551882
75	2	2	1.5992887573691692	1	0:01:48.563006
76	9	9	1.4860743927230482	1	0:01:48.589265
77	3	5	0.09699192391013774	0	0:01:48.577382
78	3	3	0.6096670979068682	1	0:01:48.570260
79	8	8	1.5992887573691692	1	0:01:48.551083
80	8	8	1.556981796091315	1	0:01:48.548919
81	1	1	1.5992887573691692	1	0:01:48.594874
82	1	1	1.5992887573691692	1	0:01:48.574747
83	7	7	1.5992887573691692	1	0:01:48.601023
84	2	2	1.399877918160344	1	0:01:48.596116
85	5	7	1.5992887573691692	0	0:01:48.601061
86	2	2	1.3827134178634257	1	0:01:48.591040
87	7	-1	0.0	0	0:01:48.584178
88	8	8	1.5992887573691692	1	0:01:48.601151
89	9	9	1.5992887573691692	1	0:01:48.595359
90	0	0	1.3673517786993914	1	0:01:48.584560
91	3	2	0.10818813030916385	0	0:01:48.573955
92	8	8	1.5992887573691692	1	0:01:48.604297
93	6	6	1.5050780731920577	1	0:01:48.600376
94	4	-1	0.0	0	0:01:48.570656
95	6	6	1.163625074157117	1	0:01:48.586704
96	6	6	1.5992887573691692	1	0:01:48.593840
97	0	0	0.719147910773096	1	0:01:48.541593
98	0	0	1.5992887573691692	1	0:01:48.613719
99	7	7	1.5992887573691692	1	0:01:48.604078
100	4	4	0.19546477415567062	1	0:01:48.572098
101	5	5	0.47150129718982764	1	0:01:48.574306
102	6	6	0.8237020666975694	1	0:01:48.596356
103	3	3	1.5992887573691692	1	0:01:48.601988
104	1	1	1.5992887573691692	1	0:01:48.603229
105	1	1	1.5992887573691692	1	0:01:48.571050
106	3	8	0.4144014610763316	0	0:01:48.609301
107	6	6	1.5992887573691692	1	0:01:48.568221
108	8	8	1.5992887573691692	1	0:01:48.627878
109	7	7	1.5992887573691692	1	0:01:48.625135
110	4	-1	0.0	0	0:01:48.557433
111	0	0	1.5992887573691692	1	0:01:48.608542
112	6	6	0.6395740587764668	1	0:01:48.603189
113	2	2	1.0752735522280226	1	0:01:48.551476
114	1	1	0.979643315581952	1	0:01:48.576567
115	3	7	0.785687352170406	0	0:01:48.577708
116	0	0	1.5278913732041421	1	0:01:48.566083
117	4	-1	0.0	0	0:01:48.574566
118	2	-1	0.0	0	0:01:48.527800
119	7	-1	0.0	0	0:01:48.583350
120	8	8	1.5992887573691692	1	0:01:48.558409
121	3	-1	0.0	0	0:01:48.552156
122	1	1	1.0323037627316762	1	0:01:48.570182
123	2	2	1.5278913732041421	1	0:01:48.578620
124	8	8	0.48246986908468525	1	0:01:48.562511
125	0	8	0.4429617710640564	0	0:01:48.590128
126	8	8	1.4551790142213852	1	0:01:48.581066
127	3	3	0.6829226728147446	1	0:01:48.573702
128	5	5	1.2423666359899788	1	0:01:48.569966
129	2	-1	0.0	0	0:01:48.567622
130	4	4	1.5992887573691692	1	0:01:48.579456
131	1	1	1.5992887573691692	1	0:01:48.585460
132	8	8	0.5153869666966985	1	0:01:48.560629
133	9	9	1.5992887573691692	1	0:01:48.596012
134	1	1	1.5992887573691692	1	0:01:48.585432
135	2	2	1.4302979300899112	1	0:01:48.552711
136	9	9	1.5992887573691692	1	0:01:48.597893
137	7	7	1.5992887573691692	1	0:01:48.602619
138	2	2	1.556981796091315	1	0:01:48.502419
139	9	8	1.5992887573691692	0	0:01:48.509812
140	6	6	1.4860743927230482	1	0:01:48.494015
141	5	5	1.5992887573691692	1	0:01:48.564978
142	6	6	1.5992887573691692	1	0:01:48.527559
143	3	7	0.560911962684181	0	0:01:48.515600
144	8	8	1.5278913732041421	1	0:01:48.546586
145	7	7	1.0013607751279645	1	0:01:48.541417
146	6	6	1.5992887573691692	1	0:01:48.513980
147	2	5	1.4860743927230482	0	0:01:48.539153
148	5	5	0.6730461119290576	1	0:01:48.560578
149	2	5	0.5826399553580146	0	0:01:48.530872
150	8	8	1.5992887573691692	1	0:01:48.538191
151	9	9	1.5992887573691692	1	0:01:48.530373
152	6	6	0.5413950848420365	1	0:01:48.504365
153	0	0	0.23936680311590086	1	0:01:48.540949
154	0	0	1.5992887573691692	1	0:01:48.511914
155	5	5	1.3406493967986977	1	0:01:48.516642
156	2	2	0.6640685967621507	1	0:01:48.511612
157	9	9	1.5992887573691692	1	0:01:48.543662
158	5	3	0.3551670040910799	0	0:01:48.528828
159	4	4	1.33463760587599	1	0:01:48.508519
160	2	2	0.6205064454990303	1	0:01:48.545620
161	1	1	1.3827134178634257	1	0:01:48.526979
162	6	5	1.0695921910565198	0	0:01:48.543955
163	6	6	0.2998200933787737	1	0:01:48.514993
164	8	9	0.3723262157839989	0	0:01:48.514730
165	4	2	0.6809251510937165	0	0:01:48.508089
166	8	8	1.5992887573691692	1	0:01:48.491217
167	4	6	0.8464338090165676	0	0:01:48.466865
168	5	9	0.04297382875544696	0	0:01:48.522645
169	0	0	0.7180362208517824	1	0:01:48.485423
170	9	9	1.5992887573691692	1	0:01:48.019961
171	9	9	0.5633533657227268	1	0:01:48.084583
172	9	8	0.27563870473934854	0	0:01:48.509220
173	8	8	1.5992887573691692	1	0:01:48.405011
174	9	9	1.5992887573691692	1	0:01:48.369480
175	9	9	1.5992887573691692	1	0:01:48.368633
176	3	3	0.8850802986029246	1	0:01:48.343089
