idx	label	predict	radius	correct	time
0	3	3	3.3391699371698023	1	0:00:15.286889
1	8	3	3.348014629378022	0	0:00:14.500706
2	8	3	3.507042646860904	0	0:00:14.506863
3	0	3	3.1903488974588976	0	0:00:14.497922
4	6	3	2.734256657438602	0	0:00:14.532454
5	6	3	3.257736869736699	0	0:00:14.563720
6	1	3	3.8114565633899145	0	0:00:14.614559
7	6	3	3.195376004780747	0	0:00:14.702451
8	3	3	3.013505556224668	1	0:00:14.707626
9	1	3	3.5912656059429544	0	0:00:14.712393
10	0	3	2.9202614986958926	0	0:00:14.708008
11	9	3	3.525241972296861	0	0:00:14.707915
12	5	3	2.4708123636821795	0	0:00:14.709259
13	7	3	2.8450204729014903	0	0:00:14.710077
14	9	3	3.6896451373254053	0	0:00:14.713014
15	8	3	3.366687302374601	0	0:00:14.714922
16	5	3	3.8114565633899145	0	0:00:14.714168
17	7	3	3.2333821990428864	0	0:00:14.712877
18	8	3	3.348014629378022	0	0:00:14.714803
19	6	3	2.5584254445611667	0	0:00:14.717843
20	7	3	3.8114565633899145	0	0:00:14.717241
21	0	3	3.2164477159438145	0	0:00:14.717936
22	4	3	3.8114565633899145	0	0:00:14.716136
23	9	3	3.545076758819273	0	0:00:14.721276
24	5	3	3.366687302374601	0	0:00:14.714614
25	2	3	3.432981275452901	0	0:00:14.714129
26	4	3	3.8114565633899145	0	0:00:14.713065
27	0	3	3.0541896468249137	0	0:00:14.715175
28	9	3	3.8114565633899145	0	0:00:14.713494
29	6	3	3.6896451373254053	0	0:00:14.718705
30	6	3	3.6509897442972625	0	0:00:14.714834
31	5	3	3.060477795484447	0	0:00:14.713926
32	4	3	2.62670106251059	0	0:00:14.714455
33	5	3	3.56691327822105	0	0:00:14.712250
34	9	3	3.8114565633899145	0	0:00:14.716240
35	2	3	3.474530257297969	0	0:00:14.713000
36	4	3	3.205711359571674	0	0:00:14.714259
37	1	3	3.739126668543357	0	0:00:14.713493
38	9	3	3.073466497692816	0	0:00:14.712978
39	5	3	2.9752013648959057	0	0:00:14.712893
40	4	3	3.6896451373254053	0	0:00:14.714074
41	6	3	3.739126668543357	0	0:00:14.711807
42	5	3	3.8114565633899145	0	0:00:14.711821
43	6	3	3.6896451373254053	0	0:00:14.716293
44	0	3	3.618892049910075	0	0:00:14.714819
45	9	3	3.525241972296861	0	0:00:14.712465
46	3	3	3.097665426846131	1	0:00:14.714636
47	9	3	3.474530257297969	0	0:00:14.712444
48	7	3	2.779824115872499	0	0:00:14.714013
49	6	3	3.739126668543357	0	0:00:14.711658
50	9	3	3.8114565633899145	0	0:00:14.714127
51	8	3	3.4598486830913835	0	0:00:14.714875
52	0	3	3.1619441964252752	0	0:00:14.713051
53	3	3	3.8114565633899145	1	0:00:14.710303
54	8	3	3.6896451373254053	0	0:00:14.713567
55	8	3	3.257736869736699	0	0:00:14.711708
56	7	3	3.1854107354865784	0	0:00:14.707324
57	7	3	3.8114565633899145	0	0:00:14.716644
58	4	3	2.853119447679536	0	0:00:14.713863
59	6	3	3.1280173083219576	0	0:00:14.711258
60	7	3	3.0081141858066363	0	0:00:14.713966
61	3	3	3.432981275452901	1	0:00:14.712774
62	6	3	3.739126668543357	0	0:00:14.711621
63	3	3	3.8114565633899145	1	0:00:14.711674
64	6	3	3.739126668543357	0	0:00:14.718209
65	2	3	3.4206044195132206	0	0:00:14.711316
66	1	3	3.618892049910075	0	0:00:14.715403
67	2	3	3.446033935086278	0	0:00:14.714113
68	3	3	3.739126668543357	1	0:00:14.714373
69	7	3	3.6896451373254053	0	0:00:14.711076
70	2	3	2.772011005298947	0	0:00:14.709281
71	6	3	3.1361297435403737	0	0:00:14.712909
72	8	3	2.8786892654282843	0	0:00:14.718008
73	8	3	2.9243220336166713	0	0:00:14.711454
74	0	3	3.507042646860904	0	0:00:14.714833
75	2	3	3.474530257297969	0	0:00:14.715287
76	9	3	3.3391699371698023	0	0:00:14.716590
77	3	3	3.1664838814232943	1	0:00:14.712184
78	3	3	3.6896451373254053	1	0:00:14.716653
79	8	3	2.4764917402459115	0	0:00:14.718634
80	8	3	3.070165749364874	0	0:00:14.714827
81	1	3	3.2333821990428864	0	0:00:14.716449
82	1	3	3.4206044195132206	0	0:00:14.714684
83	7	3	3.366687302374601	0	0:00:14.716139
84	2	3	3.6509897442972625	0	0:00:14.716199
85	5	3	3.8114565633899145	0	0:00:14.711992
86	2	3	3.6896451373254053	0	0:00:14.714722
87	7	3	2.7206812378039733	0	0:00:14.714694
88	8	3	3.0768043965633125	0	0:00:14.714985
89	9	3	3.221977049276275	0	0:00:14.709222
90	0	3	3.1086796985697305	0	0:00:14.712431
91	3	3	3.432981275452901	1	0:00:14.716473
92	8	3	2.773300817405018	0	0:00:14.717584
93	6	3	3.8114565633899145	0	0:00:14.752099
94	4	3	3.6509897442972625	0	0:00:14.715582
95	6	3	2.6739926213485106	0	0:00:14.714466
96	6	3	3.03607935138618	0	0:00:14.712838
97	0	3	2.645059903673191	0	0:00:14.714609
98	0	3	3.0107979891339527	0	0:00:14.712180
99	7	3	2.749588481016215	0	0:00:14.716475
100	4	3	2.945441766106364	0	0:00:14.719752
101	5	3	2.6808627720230938	0	0:00:14.715122
102	6	3	2.8950536485260923	0	0:00:14.713742
103	3	3	3.618892049910075	1	0:00:14.714131
104	1	3	3.3391699371698023	0	0:00:14.719234
105	1	3	3.03607935138618	0	0:00:14.712261
106	3	3	3.39760139265385	1	0:00:14.715638
107	6	3	3.739126668543357	0	0:00:14.714987
108	8	3	3.56691327822105	0	0:00:14.711349
109	7	3	2.2421565670681836	0	0:00:14.712661
110	4	3	2.584853550804819	0	0:00:14.713445
111	0	3	3.8114565633899145	0	0:00:14.714176
112	6	3	3.1854107354865784	0	0:00:14.714455
113	2	3	2.573613530141269	0	0:00:14.709116
114	1	3	2.724025823199385	0	0:00:14.716509
115	3	3	3.8114565633899145	1	0:00:14.716459
116	0	3	3.525241972296861	0	0:00:14.711792
117	4	3	3.739126668543357	0	0:00:14.714968
118	2	3	3.8114565633899145	0	0:00:14.714027
119	7	3	3.56691327822105	0	0:00:14.715089
120	8	3	3.070165749364874	0	0:00:14.710896
121	3	3	3.474530257297969	1	0:00:14.715790
122	1	3	3.6509897442972625	0	0:00:14.713573
123	2	3	3.739126668543357	0	0:00:14.714557
124	8	3	3.6509897442972625	0	0:00:14.715276
125	0	3	3.239268718957303	0	0:00:14.712800
126	8	3	3.4902076801466233	0	0:00:14.713497
127	3	3	2.8786892654282843	1	0:00:14.716420
128	5	3	3.739126668543357	0	0:00:14.713440
129	2	3	3.2164477159438145	0	0:00:14.717078
130	4	3	3.3391699371698023	0	0:00:14.712573
131	1	3	3.070165749364874	0	0:00:14.710470
132	8	3	3.8114565633899145	0	0:00:14.718021
133	9	3	3.4902076801466233	0	0:00:14.715842
134	1	3	3.525241972296861	0	0:00:14.718320
135	2	3	3.245285658991303	0	0:00:14.717344
136	9	3	3.739126668543357	0	0:00:14.717181
137	7	3	2.7119157072570608	0	0:00:14.713252
138	2	3	2.963418233642918	0	0:00:14.713364
139	9	3	2.9202614986958926	0	0:00:14.711541
140	6	3	3.22762015481756	0	0:00:14.713621
141	5	3	3.4598486830913835	0	0:00:14.714406
142	6	3	3.090546222854188	0	0:00:14.714187
143	3	3	2.70975817362281	1	0:00:14.713314
144	8	3	3.6896451373254053	0	0:00:14.715099
145	7	3	3.257736869736699	0	0:00:14.717200
146	6	3	3.525241972296861	0	0:00:14.711900
147	2	3	3.221977049276275	0	0:00:14.710995
148	5	3	3.6509897442972625	0	0:00:14.717466
149	2	3	3.0480308509367795	0	0:00:14.713946
150	8	3	3.6896451373254053	0	0:00:14.714024
151	9	3	3.8114565633899145	0	0:00:14.715874
152	6	3	3.8114565633899145	0	0:00:14.714796
153	0	3	3.618892049910075	0	0:00:14.715973
154	0	3	3.739126668543357	0	0:00:14.720139
155	5	3	3.0390230828886713	0	0:00:14.714713
156	2	3	3.357178395089851	0	0:00:14.713122
157	9	3	3.6509897442972625	0	0:00:14.721581
158	5	3	3.739126668543357	0	0:00:14.714017
159	4	3	3.1280173083219576	0	0:00:14.713260
160	2	3	3.8114565633899145	0	0:00:14.715154
161	1	3	3.4902076801466233	0	0:00:14.713426
162	6	3	3.32234769985807	0	0:00:14.713649
163	6	3	2.7946321283723305	0	0:00:14.711472
164	8	3	3.432981275452901	0	0:00:14.718407
165	4	3	3.739126668543357	0	0:00:14.711814
166	8	3	3.221977049276275	0	0:00:14.712477
167	4	3	3.3868627209197055	0	0:00:14.717095
168	5	3	3.1487451686425136	0	0:00:14.715280
169	0	3	3.2333821990428864	0	0:00:14.714317
170	9	3	3.221977049276275	0	0:00:14.716025
171	9	3	3.1361297435403737	0	0:00:14.715757
172	9	3	2.8218485581474066	0	0:00:14.713705
173	8	3	3.4598486830913835	0	0:00:14.718747
174	9	3	3.8114565633899145	0	0:00:14.714709
175	9	3	3.739126668543357	0	0:00:14.715667
176	3	3	3.618892049910075	1	0:00:14.720097
177	7	3	3.6896451373254053	0	0:00:14.714071
178	5	3	3.56691327822105	0	0:00:14.720298
179	0	3	3.739126668543357	0	0:00:14.713385
180	0	3	3.0274163084233354	0	0:00:14.718081
181	5	3	3.618892049910075	0	0:00:14.712318
182	2	3	2.51495358925399	0	0:00:14.714342
183	2	3	2.95882667153445	0	0:00:14.713580
184	3	3	3.39760139265385	1	0:00:14.712159
185	8	3	2.749588481016215	0	0:00:14.719519
186	6	3	3.739126668543357	0	0:00:14.711009
187	3	3	3.618892049910075	1	0:00:14.718767
188	4	3	3.1361297435403737	0	0:00:14.718270
189	0	3	3.618892049910075	0	0:00:14.715403
190	5	3	1.9838581799498045	0	0:00:14.716002
191	8	3	3.195376004780747	0	0:00:14.716031
192	0	3	3.6509897442972625	0	0:00:14.719023
193	1	3	2.9752013648959057	0	0:00:14.717423
194	7	3	3.507042646860904	0	0:00:14.718027
195	2	3	3.5912656059429544	0	0:00:14.715858
196	8	3	3.39760139265385	0	0:00:14.716342
197	8	3	3.32234769985807	0	0:00:14.715295
198	7	3	3.8114565633899145	0	0:00:14.718661
199	8	3	2.590217623013271	0	0:00:14.715192
200	5	3	3.8114565633899145	0	0:00:14.712430
201	1	3	3.1012909265332853	0	0:00:14.716178
202	8	3	3.5912656059429544	0	0:00:14.714333
203	7	3	3.8114565633899145	0	0:00:14.715604
204	1	3	3.8114565633899145	0	0:00:14.712635
205	3	3	2.749588481016215	1	0:00:14.717801
206	0	3	3.8114565633899145	0	0:00:14.716426
207	5	3	3.0636722286989113	0	0:00:14.715093
208	7	3	3.3143310088157363	0	0:00:14.715094
209	9	3	3.195376004780747	0	0:00:14.717867
210	7	3	3.6509897442972625	0	0:00:14.715426
211	4	3	3.6509897442972625	0	0:00:14.715567
212	5	3	3.739126668543357	0	0:00:14.712644
213	9	3	3.739126668543357	0	0:00:14.716642
214	8	3	3.257736869736699	0	0:00:14.713313
215	0	3	3.3765708704541875	0	0:00:14.714770
216	7	3	2.070510792026646	0	0:00:14.714812
217	9	3	3.2916630253561436	0	0:00:14.715126
218	8	3	3.56691327822105	0	0:00:14.713080
219	2	3	3.1361297435403737	0	0:00:14.715491
220	7	3	3.739126668543357	0	0:00:14.717546
221	6	3	3.545076758819273	0	0:00:14.713848
222	9	3	3.739126668543357	0	0:00:14.718649
223	4	3	3.3143310088157363	0	0:00:14.714584
224	3	3	3.8114565633899145	1	0:00:14.710672
225	9	3	3.8114565633899145	0	0:00:14.712667
226	6	3	3.507042646860904	0	0:00:14.718952
227	4	3	2.992486433039779	0	0:00:14.718977
228	7	3	3.4206044195132206	0	0:00:14.714137
229	6	3	3.8114565633899145	0	0:00:14.716012
230	5	3	3.6896451373254053	0	0:00:14.716172
231	1	3	3.6896451373254053	0	0:00:14.716791
232	5	3	3.8114565633899145	0	0:00:14.716013
233	8	3	3.357178395089851	0	0:00:14.720352
234	8	3	3.057317188154311	0	0:00:14.719030
235	0	3	3.474530257297969	0	0:00:14.715083
236	4	3	3.618892049910075	0	0:00:14.712842
237	0	3	3.8114565633899145	0	0:00:14.712096
238	5	3	2.479362767129125	0	0:00:14.713522
239	5	3	3.3765708704541875	0	0:00:14.718159
240	1	3	3.6896451373254053	0	0:00:14.716927
241	1	3	3.507042646860904	0	0:00:14.717840
242	8	3	3.739126668543357	0	0:00:14.718231
243	9	3	3.474530257297969	0	0:00:14.712126
244	0	3	3.8114565633899145	0	0:00:14.716506
245	3	3	3.545076758819273	1	0:00:14.716183
246	1	3	3.2333821990428864	0	0:00:14.712770
247	9	3	2.98496011546318	0	0:00:14.713076
248	2	3	2.6423795763373783	0	0:00:14.714807
249	2	3	3.739126668543357	0	0:00:14.711727
250	5	3	3.507042646860904	0	0:00:14.716097
251	3	3	3.4902076801466233	1	0:00:14.717339
252	9	3	3.1444779487628933	0	0:00:14.712483
253	9	3	3.8114565633899145	0	0:00:14.715428
254	4	3	3.8114565633899145	0	0:00:14.715408
255	0	3	3.5912656059429544	0	0:00:14.716019
256	3	3	2.8804672904664312	1	0:00:14.715523
257	0	3	2.619108135418793	0	0:00:14.710764
258	0	3	2.8631089733354855	0	0:00:14.711544
259	9	3	3.8114565633899145	0	0:00:14.714531
260	8	3	3.0768043965633125	0	0:00:14.715891
261	1	3	3.5912656059429544	0	0:00:14.715661
262	5	3	3.739126668543357	0	0:00:14.729981
263	7	3	3.6896451373254053	0	0:00:14.712475
264	0	3	3.8114565633899145	0	0:00:14.715500
265	8	3	2.98995723489766	0	0:00:14.713854
266	2	3	3.474530257297969	0	0:00:14.708987
267	4	3	3.739126668543357	0	0:00:14.717991
268	7	3	2.783798978156888	0	0:00:14.715364
269	0	3	3.4902076801466233	0	0:00:14.718150
270	2	3	2.846624435228842	0	0:00:14.709967
271	3	3	3.1402734568099806	1	0:00:14.713590
272	6	3	3.3868627209197055	0	0:00:14.710311
273	3	3	3.8114565633899145	1	0:00:14.713355
274	8	3	3.4902076801466233	0	0:00:14.712010
275	5	3	3.739126668543357	0	0:00:14.715539
276	0	3	3.8114565633899145	0	0:00:14.718176
277	3	3	3.3391699371698023	1	0:00:14.715748
278	4	3	3.739126668543357	0	0:00:14.713908
279	3	3	2.547252602059426	1	0:00:14.716875
280	9	3	3.6896451373254053	0	0:00:14.714602
281	0	3	3.3391699371698023	0	0:00:14.715377
282	6	3	3.348014629378022	0	0:00:14.716862
283	1	3	3.306554455909919	0	0:00:14.718817
284	0	3	3.195376004780747	0	0:00:14.713225
285	9	3	3.545076758819273	0	0:00:14.714351
286	1	3	3.545076758819273	0	0:00:14.711306
287	0	3	3.0028161097748054	0	0:00:14.715122
288	7	3	3.8114565633899145	0	0:00:14.717519
289	9	3	3.739126668543357	0	0:00:14.716287
290	1	3	3.306554455909919	0	0:00:14.718984
291	2	3	2.9680782126440444	0	0:00:14.715641
292	6	3	3.39760139265385	0	0:00:14.715854
293	9	3	3.618892049910075	0	0:00:14.714557
294	3	3	3.8114565633899145	1	0:00:14.713379
295	4	3	3.264185469889311	0	0:00:14.714478
296	6	3	3.251439412658161	0	0:00:14.715153
297	0	3	3.8114565633899145	0	0:00:14.714376
298	0	3	3.618892049910075	0	0:00:14.716009
299	6	3	3.041995825943167	0	0:00:14.717754
300	6	3	3.8114565633899145	0	0:00:14.715748
301	6	3	3.357178395089851	0	0:00:14.715448
302	3	3	3.545076758819273	1	0:00:14.711842
303	2	3	3.56691327822105	0	0:00:14.717958
304	6	3	2.7864749701312626	0	0:00:14.716682
305	1	3	3.284522121248485	0	0:00:14.713965
306	8	3	3.8114565633899145	0	0:00:14.716973
307	2	3	3.0768043965633125	0	0:00:14.716909
308	1	3	3.3391699371698023	0	0:00:14.714871
309	6	3	3.1402734568099806	0	0:00:14.716006
310	8	3	3.525241972296861	0	0:00:14.717128
311	6	3	2.9874485806883637	0	0:00:14.718883
312	8	3	3.1012909265332853	0	0:00:14.712656
313	0	3	3.618892049910075	0	0:00:14.711575
314	4	3	3.618892049910075	0	0:00:14.714702
315	0	3	3.739126668543357	0	0:00:14.711080
316	7	3	3.6896451373254053	0	0:00:14.715122
317	7	3	3.180558199875955	0	0:00:14.714503
318	5	3	3.2333821990428864	0	0:00:14.716867
319	5	3	2.930511612528498	0	0:00:14.709791
320	3	3	2.425087281581637	1	0:00:14.711861
321	5	3	3.6509897442972625	0	0:00:14.712374
322	2	3	3.618892049910075	0	0:00:14.715806
323	3	3	3.0274163084233354	1	0:00:14.714790
324	4	3	3.2916630253561436	0	0:00:14.717367
