idx	label	predict	radius	correct	time
0	3	3	1.6568318313133863	1	0:00:11.175639
1	8	8	1.6568318313133863	1	0:00:10.562937
2	8	8	1.6568318313133863	1	0:00:10.588565
3	0	0	1.6568318313133863	1	0:00:10.611324
4	6	6	0.46780762424110534	1	0:00:10.624990
5	6	6	1.6568318313133863	1	0:00:10.654567
6	1	3	0.8678358142117568	0	0:00:10.678079
7	6	6	0.08798724110183222	1	0:00:10.691122
8	3	3	1.2373467614629083	1	0:00:10.722008
9	1	9	0.5732135472460946	0	0:00:10.735410
10	0	0	1.6568318313133863	1	0:00:10.748665
11	9	9	1.6568318313133863	1	0:00:10.765171
12	5	5	0.39849663746381647	1	0:00:10.787829
13	7	7	1.6568318313133863	1	0:00:10.797382
14	9	9	1.6568318313133863	1	0:00:10.799688
15	8	8	1.2058455074179635	1	0:00:10.800716
16	5	5	1.6568318313133863	1	0:00:10.802990
17	7	7	1.6568318313133863	1	0:00:10.800488
18	8	8	1.6568318313133863	1	0:00:10.802504
19	6	6	1.6568318313133863	1	0:00:10.803736
20	7	7	1.6568318313133863	1	0:00:10.807917
21	0	0	1.6568318313133863	1	0:00:10.805933
22	4	0	1.6568318313133863	0	0:00:10.802567
23	9	9	1.6568318313133863	1	0:00:10.810647
24	5	4	1.4182289551907312	0	0:00:10.808446
25	2	2	1.1811280937266948	1	0:00:10.804393
26	4	4	1.570767169503086	1	0:00:10.804241
27	0	4	0.028634048343869768	0	0:00:10.803763
28	9	9	1.6568318313133863	1	0:00:10.806172
29	6	6	1.6568318313133863	1	0:00:10.802773
30	6	6	0.8775630205220735	1	0:00:10.803800
31	5	4	0.5239481882338546	0	0:00:10.804608
32	4	4	1.3708460375400726	1	0:00:10.803088
33	5	3	0.042224167036642675	0	0:00:10.807459
34	9	9	1.6568318313133863	1	0:00:10.805929
35	2	3	1.0264872109902803	0	0:00:10.808661
36	4	-1	0.0	0	0:00:10.803185
37	1	9	1.6050057973591356	0	0:00:10.808669
38	9	9	1.6568318313133863	1	0:00:10.807912
39	5	5	1.0764206429518335	1	0:00:10.806745
40	4	4	1.3344496000594102	1	0:00:10.807588
41	6	6	1.6568318313133863	1	0:00:10.804722
42	5	5	1.6568318313133863	1	0:00:10.806642
43	6	6	1.6050057973591356	1	0:00:10.802634
44	0	8	0.07626228437427696	0	0:00:10.804115
45	9	9	1.6568318313133863	1	0:00:10.807081
46	3	3	1.6568318313133863	1	0:00:10.803248
47	9	3	0.6808943733526429	0	0:00:10.804775
48	7	7	1.000032515687696	1	0:00:10.803291
49	6	6	1.1591852845646662	1	0:00:10.802819
50	9	9	1.6568318313133863	1	0:00:10.807703
51	8	8	1.6568318313133863	1	0:00:10.806099
52	0	2	0.33934373781109356	0	0:00:10.805297
53	3	3	1.3927223130564559	1	0:00:10.805355
54	8	8	1.6568318313133863	1	0:00:10.804864
55	8	8	1.6568318313133863	1	0:00:10.802114
56	7	5	1.5045264974295773	0	0:00:10.811545
57	7	5	0.4360830414639379	0	0:00:10.805383
58	4	2	0.11858652430110253	0	0:00:10.804093
59	6	4	0.48044383962000636	0	0:00:10.803480
60	7	7	1.6568318313133863	1	0:00:10.806209
61	3	3	1.4182289551907312	1	0:00:10.805702
62	6	6	1.6568318313133863	1	0:00:10.805865
63	3	9	1.3290994631540647	0	0:00:10.806768
64	6	6	1.6568318313133863	1	0:00:10.803935
65	2	2	1.6050057973591356	1	0:00:10.803332
66	1	1	0.6918886538489909	1	0:00:10.806546
67	2	2	1.6568318313133863	1	0:00:10.807558
68	3	3	1.5444998860851191	1	0:00:10.806914
69	7	7	1.036799632055542	1	0:00:10.805395
70	2	-1	0.0	0	0:00:10.802190
71	6	6	1.570767169503086	1	0:00:10.804002
72	8	8	1.6568318313133863	1	0:00:10.803249
73	8	8	1.6568318313133863	1	0:00:10.803808
74	0	0	0.5759543218784862	1	0:00:10.804117
75	2	2	1.6568318313133863	1	0:00:10.803855
76	9	9	1.6568318313133863	1	0:00:10.805910
77	3	3	0.3918799626925064	1	0:00:10.805667
78	3	3	1.6568318313133863	1	0:00:10.807074
79	8	8	1.6568318313133863	1	0:00:10.804487
80	8	8	1.6568318313133863	1	0:00:10.805216
81	1	1	1.6568318313133863	1	0:00:10.806887
82	1	1	1.6568318313133863	1	0:00:10.806046
83	7	7	1.6568318313133863	1	0:00:10.806320
84	2	2	1.1550725189897897	1	0:00:10.806823
85	5	7	1.6568318313133863	0	0:00:10.807446
86	2	2	1.488392862038074	1	0:00:10.808526
87	7	8	0.022980336791688233	0	0:00:10.805012
88	8	8	1.6568318313133863	1	0:00:10.806445
89	9	9	1.6568318313133863	1	0:00:10.804911
90	0	0	1.6568318313133863	1	0:00:10.805689
91	3	4	0.3427112568737234	0	0:00:10.802787
92	8	8	1.6568318313133863	1	0:00:10.808223
93	6	6	1.6568318313133863	1	0:00:10.804705
94	4	4	1.046374070273107	1	0:00:10.802072
95	6	6	1.4007581962147078	1	0:00:10.806544
96	6	6	1.6568318313133863	1	0:00:10.802402
97	0	0	1.3516285072815768	1	0:00:10.800087
98	0	0	1.6568318313133863	1	0:00:10.809032
99	7	7	1.6568318313133863	1	0:00:10.808249
100	4	4	0.1219564728555476	1	0:00:10.802094
101	5	5	1.3850845763536261	1	0:00:10.803167
102	6	6	0.9392379739756722	1	0:00:10.805499
103	3	3	1.6568318313133863	1	0:00:10.808155
104	1	1	1.6568318313133863	1	0:00:10.806372
105	1	1	1.6568318313133863	1	0:00:10.805253
106	3	-1	0.0	0	0:00:10.804498
107	6	6	1.6568318313133863	1	0:00:10.802214
108	8	8	1.6568318313133863	1	0:00:10.808062
109	7	7	1.6568318313133863	1	0:00:10.807311
110	4	4	0.9699637138567995	1	0:00:10.804414
111	0	0	1.6568318313133863	1	0:00:10.806630
112	6	6	0.45935676143771237	1	0:00:10.806705
113	2	2	1.570767169503086	1	0:00:10.803017
114	1	1	0.5535546072111839	1	0:00:10.805313
115	3	7	0.6516064387107194	0	0:00:10.806518
116	0	0	1.6568318313133863	1	0:00:10.805447
117	4	4	1.5229374927523265	1	0:00:10.805879
118	2	3	0.11483458368465167	0	0:00:10.802103
119	7	5	0.33694808446314156	0	0:00:10.805573
120	8	8	1.6568318313133863	1	0:00:10.803298
