idx	label	predict	radius	correct	time
0	153	153	0.7784908980456575	1	0:01:40.957530
1	87	87	0.7996443786845846	1	0:01:31.967590
2	113	113	0.7996443786845846	1	0:01:32.075691
3	41	41	0.7996443786845846	1	0:01:32.109078
4	64	64	0.7996443786845846	1	0:01:32.211633
5	86	86	0.7996443786845846	1	0:01:32.112661
6	146	146	0.7996443786845846	1	0:01:32.100496
7	199	199	0.7996443786845846	1	0:01:32.109776
8	70	70	0.7996443786845846	1	0:01:32.103731
9	148	148	0.7996443786845846	1	0:01:32.092674
10	188	188	0.7996443786845846	1	0:01:32.115667
11	32	32	0.7996443786845846	1	0:01:32.125445
12	16	16	0.7996443786845846	1	0:01:32.111342
13	155	219	0.7996443786845846	0	0:01:32.124268
14	90	90	0.7996443786845846	1	0:01:32.118205
15	187	187	0.7996443786845846	1	0:01:32.075772
16	190	190	0.7996443786845846	1	0:01:32.053634
17	168	344	0.34966431350601096	0	0:01:32.058254
18	48	123	0.6767094767272421	0	0:01:32.064901
19	191	191	0.7996443786845846	1	0:01:32.093285
20	55	55	0.7996443786845846	1	0:01:32.037618
21	54	63	0.7996443786845846	0	0:01:32.061252
22	110	110	0.7996443786845846	1	0:01:32.078246
23	105	372	0.5539416859672713	0	0:01:32.053870
24	23	23	0.7996443786845846	1	0:01:32.060748
25	144	144	0.7996443786845846	1	0:01:32.074472
26	6	6	0.24257334444390416	1	0:01:32.062274
27	52	52	0.7996443786845846	1	0:01:32.059673
28	165	241	0.2024468785616711	0	0:01:32.056901
29	118	118	0.7996443786845846	1	0:01:32.047168
30	4	2	0.7525390365960288	0	0:01:31.994038
31	182	607	0.7996443786845846	0	0:01:32.014656
32	66	66	0.7996443786845846	1	0:01:32.021388
33	165	165	0.7996443786845846	1	0:01:32.107227
34	129	129	0.7996443786845846	1	0:01:32.235765
35	181	181	0.22949778629106352	1	0:01:32.284779
36	4	4	0.7996443786845846	1	0:01:32.287994
37	53	-1	0.0	0	0:01:32.304031
38	31	31	0.7996443786845846	1	0:01:32.313808
39	128	128	0.7996443786845846	1	0:01:32.285821
40	124	30	0.392843676085203	0	0:01:32.265722
41	27	27	0.7996443786845846	1	0:01:32.310411
42	194	194	0.7996443786845846	1	0:01:32.325424
43	103	103	0.7996443786845846	1	0:01:32.298382
44	19	19	0.7996443786845846	1	0:01:32.293547
45	172	172	0.7996443786845846	1	0:01:32.309794
46	184	184	0.7996443786845846	1	0:01:32.289811
47	157	157	0.7996443786845846	1	0:01:32.309385
48	187	187	0.7996443786845846	1	0:01:32.310341
49	40	31	0.7996443786845846	0	0:01:32.310054
50	66	68	0.7996443786845846	0	0:01:32.286277
51	103	103	0.6644236196383237	1	0:01:32.285414
52	67	67	0.7996443786845846	1	0:01:32.290563
53	8	8	0.7996443786845846	1	0:01:32.310175
54	107	107	0.7996443786845846	1	0:01:32.304159
55	50	49	0.47986778832661253	0	0:01:32.311068
56	189	189	0.7996443786845846	1	0:01:32.296962
57	70	70	0.7996443786845846	1	0:01:32.278441
58	81	81	0.7996443786845846	1	0:01:32.288009
59	139	139	0.7996443786845846	1	0:01:32.311389
60	92	92	0.7996443786845846	1	0:01:32.313901
61	1	1	0.7996443786845846	1	0:01:32.319638
62	199	199	0.7996443786845846	1	0:01:32.296241
63	23	23	0.03655190624770077	1	0:01:32.306443
64	43	43	0.7996443786845846	1	0:01:32.329611
65	93	93	0.7996443786845846	1	0:01:32.323022
66	122	122	0.7996443786845846	1	0:01:32.320237
67	48	50	0.48429107646204417	0	0:01:32.322339
68	5	5	0.7996443786845846	1	0:01:32.317736
69	171	171	0.7996443786845846	1	0:01:32.321257
70	84	346	0.42491775193494236	0	0:01:32.301996
71	32	31	0.2572541576050268	0	0:01:32.290440
72	105	105	0.7996443786845846	1	0:01:32.351194
73	39	105	0.4485119101781797	0	0:01:32.297382
74	183	265	0.42070363287601026	0	0:01:32.310491
75	197	233	0.7996443786845846	0	0:01:32.283726
76	101	101	0.7996443786845846	1	0:01:32.297229
77	147	147	0.7996443786845846	1	0:01:32.262146
78	121	121	0.7996443786845846	1	0:01:32.292373
79	120	119	0.7996443786845846	0	0:01:32.300693
80	199	197	0.5733153237668234	0	0:01:32.312691
81	34	973	0.4325383308395139	0	0:01:32.296303
82	195	195	0.6115417202379467	1	0:01:32.262814
83	123	123	0.7784908980456575	1	0:01:32.281383
84	157	157	0.7996443786845846	1	0:01:32.290389
85	58	52	0.5398177502954438	0	0:01:32.272787
86	170	169	0.7996443786845846	0	0:01:32.278894
87	69	69	0.7996443786845846	1	0:01:32.311605
88	58	52	0.6955205444683852	0	0:01:32.293745
89	166	162	0.7996443786845846	0	0:01:32.293739
90	21	21	0.7996443786845846	1	0:01:32.258061
91	188	188	0.7996443786845846	1	0:01:32.297038
92	155	155	0.7996443786845846	1	0:01:32.308622
93	111	111	0.5286647503335491	1	0:01:32.311674
94	7	7	0.7996443786845846	1	0:01:32.312381
95	147	147	0.7996443786845846	1	0:01:32.263059
96	25	25	0.7996443786845846	1	0:01:32.319059
97	155	155	0.7996443786845846	1	0:01:32.319819
98	69	69	0.7996443786845846	1	0:01:32.324019
99	191	191	0.7996443786845846	1	0:01:32.305947
100	118	121	0.09439317136316597	0	0:01:32.285159
101	101	101	0.7996443786845846	1	0:01:32.291463
102	73	73	0.7996443786845846	1	0:01:32.309991
103	56	56	0.7996443786845846	1	0:01:32.291971
104	50	49	0.12168006817179665	0	0:01:32.264810
105	88	88	0.7996443786845846	1	0:01:32.318602
106	20	20	0.7996443786845846	1	0:01:32.299406
107	137	137	0.7996443786845846	1	0:01:32.275733
108	12	12	0.6703246983993488	1	0:01:32.273419
109	171	232	0.7996443786845846	0	0:01:32.260222
110	51	534	0.12490634187307488	0	0:01:32.291513
111	92	92	0.7996443786845846	1	0:01:32.262272
112	164	164	0.7996443786845846	1	0:01:32.285563
113	188	188	0.7996443786845846	1	0:01:32.293775
114	33	33	0.7996443786845846	1	0:01:32.287947
115	67	67	0.7996443786845846	1	0:01:32.302747
116	88	88	0.7996443786845846	1	0:01:32.320015
117	32	125	0.2652926439200569	0	0:01:32.284072
118	189	189	0.7996443786845846	1	0:01:32.305849
119	193	273	0.18439554612714112	0	0:01:32.299746
120	32	74	0.7151489650449556	0	0:01:32.299876
121	78	78	0.7996443786845846	1	0:01:32.283847
122	80	80	0.7996443786845846	1	0:01:32.277035
123	111	111	0.616232829604616	1	0:01:32.295776
124	5	5	0.5664359561987167	1	0:01:32.298870
125	4	107	0.4425401493014623	0	0:01:32.245790
126	102	102	0.7996443786845846	1	0:01:32.278663
127	80	80	0.7996443786845846	1	0:01:32.271576
128	109	390	0.15690834969245537	0	0:01:32.300124
129	33	34	0.24123493454234263	0	0:01:32.299570
130	153	153	0.614641809046287	1	0:01:32.263295
131	143	-1	0.0	0	0:01:32.256355
132	100	144	0.7996443786845846	0	0:01:32.297076
133	41	45	0.2411322775719401	0	0:01:32.252312
134	57	57	0.7996443786845846	1	0:01:32.277696
135	197	226	0.7996443786845846	0	0:01:32.273049
136	73	73	0.7996443786845846	1	0:01:32.301925
137	136	136	0.7996443786845846	1	0:01:32.261834
138	12	12	0.7996443786845846	1	0:01:32.267941
139	128	128	0.7210768143394661	1	0:01:32.280674
140	86	86	0.7996443786845846	1	0:01:32.286423
141	102	102	0.7996443786845846	1	0:01:32.290714
142	57	25	0.7996443786845846	0	0:01:32.285275
143	0	0	0.7996443786845846	1	0:01:32.269754
144	105	105	0.7996443786845846	1	0:01:32.290653
145	125	170	0.07161032235402132	0	0:01:32.271216
146	123	123	0.7996443786845846	1	0:01:32.296373
147	137	137	0.7996443786845846	1	0:01:32.280811
148	82	82	0.7996443786845846	1	0:01:32.302004
149	120	120	0.7996443786845846	1	0:01:32.284225
150	93	93	0.7996443786845846	1	0:01:32.279613
151	181	882	0.7525390365960288	0	0:01:32.302993
152	123	327	0.26495201455441203	0	0:01:32.276913
153	29	130	0.06662631495095397	0	0:01:32.313919
154	69	69	0.7996443786845846	1	0:01:32.302827
155	151	245	0.7996443786845846	0	0:01:32.306045
156	173	212	0.7639456866020711	0	0:01:32.315210
157	51	979	0.30884914397978824	0	0:01:32.299823
158	52	56	0.7996443786845846	0	0:01:32.299018
159	47	41	0.4755988142332382	0	0:01:32.283775
160	90	90	0.7996443786845846	1	0:01:32.303541
161	189	-1	0.0	0	0:01:32.276166
162	148	148	0.7996443786845846	1	0:01:32.252294
163	86	86	0.7996443786845846	1	0:01:32.280160
164	143	143	0.7996443786845846	1	0:01:32.300283
165	150	363	0.1745545920472437	0	0:01:32.312003
166	193	186	0.7784908980456575	0	0:01:32.305070
167	46	30	0.30238170905152184	0	0:01:32.293812
168	43	980	0.7996443786845846	0	0:01:32.305008
169	15	15	0.7996443786845846	1	0:01:32.305243
170	138	138	0.28877219517321817	1	0:01:32.301980
171	160	160	0.7996443786845846	1	0:01:32.310063
172	127	127	0.7996443786845846	1	0:01:32.298806
173	26	26	0.7996443786845846	1	0:01:32.296002
174	122	122	0.7996443786845846	1	0:01:32.328062
175	61	61	0.699938959080172	1	0:01:32.325247
176	25	25	0.7996443786845846	1	0:01:32.320079
177	180	180	0.7996443786845846	1	0:01:32.310835
178	103	168	0.28801391375497043	0	0:01:32.286997
179	153	153	0.7996443786845846	1	0:01:32.297485
180	161	161	0.7996443786845846	1	0:01:32.291423
181	131	138	0.10939825914091368	0	0:01:32.247534
182	14	14	0.7996443786845846	1	0:01:32.234360
183	110	110	0.7996443786845846	1	0:01:32.260912
184	198	198	0.7996443786845846	1	0:01:32.267489
185	91	998	0.7996443786845846	0	0:01:32.254789
186	175	252	0.7996443786845846	0	0:01:32.247971
187	14	14	0.7996443786845846	1	0:01:32.248902
188	153	204	0.7996443786845846	0	0:01:32.238147
189	39	39	0.7996443786845846	1	0:01:32.270319
190	14	14	0.7996443786845846	1	0:01:32.263224
191	134	134	0.7430371963615241	1	0:01:32.280910
192	103	-1	0.0	0	0:01:32.220852
193	176	176	0.7996443786845846	1	0:01:32.258600
194	187	187	0.7996443786845846	1	0:01:32.242873
195	53	53	0.7996443786845846	1	0:01:32.248306
196	99	99	0.7996443786845846	1	0:01:32.234423
197	127	99	0.005392601859892886	0	0:01:32.224606
198	41	41	0.7996443786845846	1	0:01:32.253175
199	73	73	0.7996443786845846	1	0:01:32.253888
200	83	83	0.7996443786845846	1	0:01:32.260544
201	12	674	0.6466400188500935	0	0:01:32.270050
202	99	50	0.40083132021908285	0	0:01:32.238622
203	69	69	0.7996443786845846	1	0:01:32.253902
204	198	184	0.0306496886322121	0	0:01:32.275023
205	23	112	0.7996443786845846	0	0:01:32.243214
206	116	987	0.1626955551751048	0	0:01:32.263151
207	77	77	0.7996443786845846	1	0:01:32.223126
208	112	112	0.7996443786845846	1	0:01:32.234207
209	61	509	0.03610686341627146	0	0:01:32.260883
210	43	43	0.7996443786845846	1	0:01:32.266524
211	13	133	0.1762703875843546	0	0:01:32.240827
212	83	83	0.7996443786845846	1	0:01:32.239264
213	110	115	0.4435170141235082	0	0:01:32.276633
214	13	995	0.4502197055708771	0	0:01:32.257925
215	89	89	0.7996443786845846	1	0:01:32.207035
216	78	78	0.7996443786845846	1	0:01:32.254849
217	79	78	0.38095958957470927	0	0:01:32.218362
218	78	78	0.7996443786845846	1	0:01:32.251813
219	112	515	0.0986214119417396	0	0:01:32.244999
220	126	126	0.7996443786845846	1	0:01:32.250739
221	9	9	0.7996443786845846	1	0:01:32.257612
222	66	66	0.7996443786845846	1	0:01:32.244820
223	123	973	0.23067723026633793	0	0:01:32.246035
224	139	139	0.46284600081315586	1	0:01:32.237675
225	91	91	0.7348363129819991	1	0:01:32.225599
226	83	83	0.16641896697235178	1	0:01:32.279377
227	160	160	0.7996443786845846	1	0:01:32.248685
228	35	-1	0.0	0	0:01:32.248400
229	155	155	0.7996443786845846	1	0:01:32.252528
230	51	51	0.7996443786845846	1	0:01:32.271620
231	73	73	0.6801126721928175	1	0:01:32.238973
232	121	121	0.5254015364020985	1	0:01:32.257731
233	29	29	0.7996443786845846	1	0:01:32.272650
234	81	85	0.5032949321766671	0	0:01:32.251119
235	198	196	0.7996443786845846	0	0:01:32.266076
236	190	190	0.7996443786845846	1	0:01:32.241204
237	65	65	0.7996443786845846	1	0:01:32.256035
238	43	43	0.7996443786845846	1	0:01:32.244539
239	128	128	0.7996443786845846	1	0:01:32.254256
240	41	41	0.7996443786845846	1	0:01:32.253477
241	154	154	0.1924708379758886	1	0:01:32.258296
242	121	118	0.7996443786845846	0	0:01:32.252220
243	9	9	0.7996443786845846	1	0:01:32.241925
244	95	95	0.7996443786845846	1	0:01:32.249699
245	122	122	0.7996443786845846	1	0:01:32.249318
246	63	553	0.7784908980456575	0	0:01:32.259622
247	58	54	0.195760013148448	0	0:01:32.271683
248	103	103	0.7996443786845846	1	0:01:32.254338
249	31	32	0.7996443786845846	0	0:01:32.270508
250	129	129	0.7996443786845846	1	0:01:32.258183
251	167	167	0.7996443786845846	1	0:01:32.252919
252	10	10	0.7996443786845846	1	0:01:32.228663
253	18	18	0.7996443786845846	1	0:01:32.253509
254	40	46	0.7784908980456575	0	0:01:32.248072
255	74	72	0.7996443786845846	0	0:01:32.247949
256	69	69	0.7996443786845846	1	0:01:32.257033
257	169	169	0.7996443786845846	1	0:01:32.248158
258	60	60	0.11156511570122378	1	0:01:32.259461
259	87	87	0.7996443786845846	1	0:01:32.264873
260	97	97	0.7996443786845846	1	0:01:32.236697
261	94	94	0.7996443786845846	1	0:01:32.246797
262	50	29	0.7996443786845846	0	0:01:32.255824
263	124	119	0.36370805073958534	0	0:01:32.248915
264	106	106	0.7996443786845846	1	0:01:32.250277
265	72	73	0.7996443786845846	0	0:01:32.242496
266	91	91	0.7996443786845846	1	0:01:32.248944
267	148	147	0.7784908980456575	0	0:01:32.215213
268	154	284	0.1633266428025968	0	0:01:32.269152
269	77	76	0.02963641400840277	0	0:01:32.254029
270	20	20	0.7996443786845846	1	0:01:32.240108
271	33	416	0.0015044885183395228	0	0:01:32.232485
272	130	425	0.7996443786845846	0	0:01:32.211254
273	170	169	0.7996443786845846	0	0:01:32.227926
274	97	97	0.7996443786845846	1	0:01:32.214527
275	163	161	0.11606714929378528	0	0:01:32.236267
276	127	22	0.6115417202379467	0	0:01:32.197520
277	193	193	0.7996443786845846	1	0:01:32.236868
278	135	135	0.7996443786845846	1	0:01:32.233924
279	13	993	0.6264272374346697	0	0:01:32.241235
280	60	63	0.7996443786845846	0	0:01:32.245406
281	189	189	0.7996443786845846	1	0:01:32.239342
282	188	188	0.7996443786845846	1	0:01:32.223892
283	155	155	0.7996443786845846	1	0:01:32.252102
284	98	98	0.7996443786845846	1	0:01:32.239032
285	24	24	0.7996443786845846	1	0:01:32.259108
286	171	263	0.36370805073958534	0	0:01:32.241830
287	141	141	0.7996443786845846	1	0:01:32.213604
288	38	38	0.07108426142315992	1	0:01:32.231450
289	26	26	0.7996443786845846	1	0:01:32.234628
290	144	143	0.7996443786845846	0	0:01:32.196795
291	11	11	0.7996443786845846	1	0:01:32.226640
292	34	544	0.7996443786845846	0	0:01:32.257116
293	87	87	0.7996443786845846	1	0:01:32.275295
294	162	162	0.7996443786845846	1	0:01:32.251149
295	13	13	0.7525390365960288	1	0:01:32.276570
296	155	34	0.10054078464630709	0	0:01:32.255085
297	25	316	0.7996443786845846	0	0:01:32.281311
298	2	2	0.7996443786845846	1	0:01:32.261868
299	104	870	0.633948677169767	0	0:01:32.284204
300	164	275	0.06258189612001813	0	0:01:32.289310
301	199	199	0.7996443786845846	1	0:01:32.270354
302	177	177	0.7996443786845846	1	0:01:32.264008
303	160	160	0.7996443786845846	1	0:01:32.271749
304	28	28	0.7996443786845846	1	0:01:32.264246
305	198	198	0.7996443786845846	1	0:01:32.294091
306	17	17	0.7996443786845846	1	0:01:32.286153
307	65	973	0.7996443786845846	0	0:01:32.267515
308	80	80	0.7996443786845846	1	0:01:32.255475
309	166	161	0.7996443786845846	0	0:01:32.278516
310	149	4	0.0753686841575189	0	0:01:32.278771
311	38	38	0.7996443786845846	1	0:01:32.276116
312	165	234	0.7996443786845846	0	0:01:32.292020
313	33	33	0.7996443786845846	1	0:01:32.272443
314	123	123	0.7996443786845846	1	0:01:32.289179
315	137	137	0.7996443786845846	1	0:01:32.285017
316	120	119	0.7996443786845846	0	0:01:32.305854
317	63	63	0.7996443786845846	1	0:01:32.277461
318	178	178	0.0795443338351285	1	0:01:32.281663
319	8	8	0.7996443786845846	1	0:01:32.285749
320	165	236	0.26157344155481643	0	0:01:32.259410
321	164	214	0.7996443786845846	0	0:01:32.273469
322	197	214	0.47269598032005317	0	0:01:32.260370
323	196	196	0.7784908980456575	1	0:01:32.281949
324	105	800	0.7996443786845846	0	0:01:32.277708
325	41	41	0.7996443786845846	1	0:01:32.268486
326	96	489	0.7996443786845846	0	0:01:32.243270
327	90	90	0.7996443786845846	1	0:01:32.289715
328	91	91	0.7996443786845846	1	0:01:32.272668
329	125	125	0.7996443786845846	1	0:01:32.245369
330	195	195	0.7996443786845846	1	0:01:32.258196
331	17	763	0.07848162161067979	0	0:01:32.264096
332	93	93	0.7996443786845846	1	0:01:32.253051
333	174	174	0.7996443786845846	1	0:01:32.262793
334	80	80	0.7996443786845846	1	0:01:32.256056
335	11	11	0.7996443786845846	1	0:01:32.259374
336	50	123	0.7996443786845846	0	0:01:32.268543
337	95	95	0.7996443786845846	1	0:01:32.294298
338	185	185	0.7996443786845846	1	0:01:32.235964
339	84	84	0.7996443786845846	1	0:01:32.286425
340	27	27	0.7996443786845846	1	0:01:32.265774
341	70	669	0.7996443786845846	0	0:01:32.289118
342	178	178	0.0828754565372804	1	0:01:32.280490
343	126	304	0.09896369885902669	0	0:01:32.286009
344	75	91	0.47771478265309786	0	0:01:32.293090
345	11	11	0.7996443786845846	1	0:01:32.250554
346	198	198	0.7996443786845846	1	0:01:32.267491
347	45	972	0.7430371963615241	0	0:01:32.293305
348	179	179	0.7996443786845846	1	0:01:32.286183
349	31	315	0.14725117017205194	0	0:01:32.294306
350	18	18	0.7996443786845846	1	0:01:32.264109
351	144	144	0.7996443786845846	1	0:01:32.243217
352	184	168	0.13376690727037666	0	0:01:32.277549
353	195	245	0.44060754232817867	0	0:01:32.264061
354	32	26	0.2811875659146412	0	0:01:32.275704
355	171	166	0.4926857016910148	0	0:01:32.287317
356	85	979	0.7996443786845846	0	0:01:32.267563
357	176	176	0.7996443786845846	1	0:01:32.268526
358	126	107	0.7996443786845846	0	0:01:32.253114
359	86	86	0.7996443786845846	1	0:01:32.285637
360	18	18	0.7996443786845846	1	0:01:32.278236
361	19	19	0.7996443786845846	1	0:01:32.279385
362	13	13	0.7996443786845846	1	0:01:32.269545
363	74	74	0.7996443786845846	1	0:01:32.293590
364	125	125	0.7996443786845846	1	0:01:32.240510
365	61	474	0.33684803001431174	0	0:01:32.266785
366	189	243	0.45911072329196495	0	0:01:32.289042
367	182	207	0.7996443786845846	0	0:01:32.295282
368	64	64	0.7996443786845846	1	0:01:32.282134
369	145	145	0.7996443786845846	1	0:01:32.249163
370	118	118	0.7996443786845846	1	0:01:32.287114
371	193	185	0.7784908980456575	0	0:01:32.265972
372	184	184	0.7996443786845846	1	0:01:32.272609
373	55	55	0.7996443786845846	1	0:01:32.292354
374	3	3	0.6913567089317129	1	0:01:32.280400
375	182	254	0.16785519692699935	0	0:01:32.296018
376	64	64	0.7996443786845846	1	0:01:32.295026
377	104	286	0.7996443786845846	0	0:01:32.307946
378	172	172	0.7996443786845846	1	0:01:32.280913
379	30	30	0.7996443786845846	1	0:01:32.313198
380	164	275	0.3178709568779292	0	0:01:32.291349
381	170	177	0.16348458488403755	0	0:01:32.266468
382	117	117	0.7996443786845846	1	0:01:32.271014
383	66	298	0.014058231767437816	0	0:01:32.301125
384	194	194	0.7996443786845846	1	0:01:32.295237
385	64	64	0.7996443786845846	1	0:01:32.277858
386	198	198	0.7996443786845846	1	0:01:32.276453
