idx	label	predict	radius	correct	time
0	153	700	0.2525502754589059	0	0:00:50.031561
1	87	87	1.5992887573691692	1	0:00:45.139723
2	113	113	0.08099961835973607	1	0:00:45.182089
3	41	41	1.5992887573691692	1	0:00:45.237500
4	64	64	0.3770701564342136	1	0:00:45.334222
5	86	86	1.5992887573691692	1	0:00:45.277263
6	146	146	1.5992887573691692	1	0:00:45.279535
7	199	199	1.5992887573691692	1	0:00:45.286077
8	70	70	1.5992887573691692	1	0:00:45.270640
9	148	148	1.5992887573691692	1	0:00:45.259241
10	188	188	1.556981796091315	1	0:00:45.261650
11	32	32	1.5278913732041421	1	0:00:45.259199
12	16	16	1.5992887573691692	1	0:00:45.253364
13	155	219	1.5992887573691692	0	0:00:45.266706
14	90	90	1.5992887573691692	1	0:00:45.263635
15	187	187	0.3811647462858569	1	0:00:45.261737
16	190	190	1.5992887573691692	1	0:00:45.268367
17	168	344	0.32855064500421394	0	0:00:45.264836
18	48	123	0.860889935248285	0	0:00:45.263868
19	191	184	0.05813341375617756	0	0:00:45.272076
20	55	55	1.5992887573691692	1	0:00:45.255561
21	54	63	0.09135068327577074	0	0:00:45.259081
22	110	110	1.5992887573691692	1	0:00:45.269422
23	105	372	0.2937455220614596	0	0:00:45.268333
24	23	23	1.5992887573691692	1	0:00:45.256373
25	144	144	1.5992887573691692	1	0:00:45.263621
26	6	6	0.7490499367192366	1	0:00:45.274993
27	52	52	1.5992887573691692	1	0:00:45.251591
28	165	240	1.4551790142213852	0	0:00:45.266212
29	118	118	1.5992887573691692	1	0:00:45.269535
30	4	2	0.502590238300038	0	0:00:45.247859
31	182	607	1.5992887573691692	0	0:00:45.254945
32	66	66	1.5992887573691692	1	0:00:45.254453
33	165	165	1.5992887573691692	1	0:00:45.267077
34	129	129	1.5992887573691692	1	0:00:45.248431
35	181	-1	0.0	0	0:00:45.266249
36	4	4	1.5992887573691692	1	0:00:45.268474
37	53	-1	0.0	0	0:00:45.256998
38	31	31	1.2602126492928531	1	0:00:45.268138
39	128	128	1.5992887573691692	1	0:00:45.258103
40	124	-1	0.0	0	0:00:45.259716
41	27	27	0.9365335126279086	1	0:00:45.272436
42	194	194	1.5992887573691692	1	0:00:45.267975
43	103	103	1.5992887573691692	1	0:00:45.228635
44	19	19	1.5992887573691692	1	0:00:45.204425
45	172	-1	0.0	0	0:00:45.198370
46	184	184	1.556981796091315	1	0:00:45.186941
47	157	157	1.5992887573691692	1	0:00:45.183768
48	187	187	0.6176982879595765	1	0:00:45.178658
49	40	-1	0.0	0	0:00:45.178896
50	66	68	0.7494570300074404	0	0:00:45.171808
51	103	103	1.5992887573691692	1	0:00:45.168126
52	67	67	1.4551790142213852	1	0:00:45.165563
53	8	8	1.5992887573691692	1	0:00:45.159795
54	107	107	1.5992887573691692	1	0:00:45.169038
55	50	50	0.2802405780461085	1	0:00:45.232778
56	189	189	0.3434276917117263	1	0:00:45.301884
57	70	70	1.5992887573691692	1	0:00:45.339533
58	81	81	1.5992887573691692	1	0:00:45.373103
59	139	139	1.5278913732041421	1	0:00:45.405986
60	92	92	1.5992887573691692	1	0:00:45.400141
61	1	1	1.5992887573691692	1	0:00:45.417069
62	199	199	1.5992887573691692	1	0:00:45.405369
63	23	23	1.208449594514268	1	0:00:45.405148
64	43	43	1.5992887573691692	1	0:00:45.414261
65	93	93	1.556981796091315	1	0:00:45.405560
66	122	122	1.5992887573691692	1	0:00:45.415752
67	48	50	0.8799389427539713	0	0:00:45.406879
68	5	5	1.5992887573691692	1	0:00:45.400114
69	171	171	1.5992887573691692	1	0:00:45.413383
70	84	-1	0.0	0	0:00:45.412845
71	32	31	1.3534189534544843	0	0:00:45.403259
72	105	105	1.556981796091315	1	0:00:45.414900
