idx	label	predict	radius	correct	time
0	153	153	0.9528641408474786	1	0:30:49.792984
1	87	87	0.9528641408474786	1	0:30:32.787971
2	113	113	0.9528641408474786	1	0:30:31.830446
3	41	41	0.9528641408474786	1	0:30:31.961115
4	64	64	0.9528641408474786	1	0:30:32.179167
5	86	86	0.9528641408474786	1	0:30:31.917098
6	146	146	0.9528641408474786	1	0:30:31.084873
7	199	199	0.9528641408474786	1	0:30:31.798796
8	70	70	0.9528641408474786	1	0:30:30.420024
9	148	148	0.9528641408474786	1	0:30:30.555740
10	188	188	0.9528641408474786	1	0:30:31.701065
11	32	30	0.19623024892053298	0	0:30:31.783746
12	16	21	0.08925851845098877	0	0:30:31.199258
13	155	219	0.9528641408474786	0	0:30:31.651996
14	90	90	0.9528641408474786	1	0:30:32.132019
15	187	153	0.9127474360743156	0	0:30:31.694677
16	190	190	0.9528641408474786	1	0:30:31.365040
17	168	168	0.9528641408474786	1	0:30:31.705030
18	48	694	0.5758985536644622	0	0:30:32.306048
19	191	191	0.6251715401460766	1	0:30:31.177853
20	55	55	0.9528641408474786	1	0:30:28.308421
21	54	63	0.9528641408474786	0	0:30:28.499930
22	110	110	0.9528641408474786	1	0:30:28.524961
23	105	101	0.438335971541518	0	0:30:27.719657
24	23	23	0.9528641408474786	1	0:30:29.990911
25	144	144	0.9528641408474786	1	0:30:31.666250
26	6	6	0.8978164014857386	1	0:30:30.600810
27	52	52	0.9528641408474786	1	0:30:30.111634
28	165	165	0.08253902569609829	1	0:30:31.080374
29	118	118	0.9528641408474786	1	0:30:31.485311
30	4	4	0.9528641408474786	1	0:30:29.619498
31	182	607	0.9528641408474786	0	0:30:30.132492
32	66	68	0.3969354558795659	0	0:30:30.481098
33	165	165	0.9528641408474786	1	0:30:29.677383
34	129	129	0.9528641408474786	1	0:30:28.614780
35	181	181	0.9528641408474786	1	0:30:29.211334
36	4	4	0.9528641408474786	1	0:30:28.405595
37	53	615	0.9528641408474786	0	0:30:28.592117
38	31	31	0.9528641408474786	1	0:30:29.200918
39	128	128	0.9528641408474786	1	0:30:28.722867
40	124	-1	0.0	0	0:30:29.209487
41	27	27	0.9528641408474786	1	0:30:29.310737
42	194	194	0.9528641408474786	1	0:30:29.423550
43	103	103	0.9528641408474786	1	0:30:31.675690
44	19	19	0.9528641408474786	1	0:30:32.239212
45	172	151	0.17163408988873818	0	0:30:32.032194
46	184	184	0.9528641408474786	1	0:30:31.726669
47	157	157	0.9528641408474786	1	0:30:31.435806
48	187	201	0.327886714426603	0	0:30:31.396795
49	40	31	0.7717625671959707	0	0:30:30.691723
50	66	68	0.6876991299097257	0	0:30:29.691073
51	103	103	0.9528641408474786	1	0:30:29.084762
52	67	67	0.9528641408474786	1	0:30:29.965160
53	8	8	0.9528641408474786	1	0:30:30.206595
54	107	107	0.9528641408474786	1	0:30:30.120185
55	50	62	0.6106343524520155	0	0:30:30.102619
56	189	189	0.09135829405439094	1	0:30:30.065386
57	70	70	0.9528641408474786	1	0:30:29.423503
58	81	81	0.9528641408474786	1	0:30:30.682030
59	139	139	0.9528641408474786	1	0:30:31.031197
60	92	92	0.9528641408474786	1	0:30:30.796373
61	1	1	0.9528641408474786	1	0:30:31.259624
62	199	199	0.9528641408474786	1	0:30:31.394858
63	23	23	0.9528641408474786	1	0:30:31.953581
64	43	43	0.9528641408474786	1	0:30:32.320514
65	93	93	0.46648129521861026	1	0:30:31.754666
66	122	122	0.9528641408474786	1	0:30:31.942166
67	48	69	0.8285827522039341	0	0:30:31.851904
68	5	884	0.06540779129081287	0	0:30:31.636572
69	171	268	0.13838784141234736	0	0:30:31.505162
70	84	84	0.9528641408474786	1	0:30:31.255437
71	32	301	0.047385908144180006	0	0:30:31.019994
72	105	105	0.9528641408474786	1	0:30:31.332419
73	39	39	0.5987762017788121	1	0:30:31.083703
74	183	183	0.9347816671358392	1	0:30:31.519893
75	197	233	0.21892703982537037	0	0:30:31.438539
76	101	101	0.9528641408474786	1	0:30:31.897464
77	147	147	0.9528641408474786	1	0:30:31.021365
78	121	121	0.9528641408474786	1	0:30:32.215674
79	120	310	0.24849234940975715	0	0:30:32.210269
80	199	199	0.47118950515833247	1	0:30:32.491791
81	34	397	0.9528641408474786	0	0:30:32.053656
82	195	195	0.9528641408474786	1	0:30:31.374477
83	123	123	0.9528641408474786	1	0:30:31.025526
84	157	157	0.9528641408474786	1	0:30:31.267953
85	58	66	0.6146501874695456	0	0:30:31.115722
86	170	169	0.9528641408474786	0	0:30:30.338174
87	69	69	0.5311661384266301	1	0:30:31.318030
88	58	52	0.666337412240118	0	0:30:30.747922
89	166	162	0.9528641408474786	0	0:30:30.712678
90	21	21	0.9528641408474786	1	0:30:29.971347
91	188	188	0.9528641408474786	1	0:30:30.946498
92	155	155	0.9528641408474786	1	0:30:31.385180
93	111	111	0.6551954631814464	1	0:30:30.605657
