idx	label	predict	radius	correct	time
0	153	-1	0.0	0	0:00:13.630047
1	87	87	2.6357270875659538	1	0:00:11.823184
2	113	-1	0.0	0	0:00:11.832247
3	41	41	3.1985775147383384	1	0:00:11.838935
4	64	64	1.6939957979891178	1	0:00:11.908406
5	86	-1	0.0	0	0:00:11.855910
6	146	146	3.1985775147383384	1	0:00:11.860064
7	199	367	0.5143582800449715	0	0:00:11.870969
8	70	111	0.29408085226590497	0	0:00:11.873330
9	148	148	3.1985775147383384	1	0:00:11.880345
10	188	-1	0.0	0	0:00:11.891364
11	32	32	3.0557827464082843	1	0:00:11.896258
12	16	94	0.989473738893189	0	0:00:11.899683
13	155	219	3.1985775147383384	0	0:00:11.902100
14	90	90	2.395052970378441	1	0:00:11.903207
15	187	-1	0.0	0	0:00:11.903895
16	190	190	3.1985775147383384	1	0:00:11.907510
17	168	-1	0.0	0	0:00:11.908604
18	48	396	0.506832874001395	0	0:00:11.909712
19	191	-1	0.0	0	0:00:11.910621
20	55	-1	0.0	0	0:00:11.908379
21	54	63	2.400395233720955	0	0:00:11.913522
22	110	110	1.051225840450347	1	0:00:11.924805
23	105	-1	0.0	0	0:00:11.933569
24	23	148	0.025836585662141812	0	0:00:11.934374
25	144	144	3.1985775147383384	1	0:00:11.942229
26	6	-1	0.0	0	0:00:11.948348
27	52	52	2.2734144119684734	1	0:00:11.949055
28	165	-1	0.0	0	0:00:11.955154
29	118	118	3.1985775147383384	1	0:00:11.953616
30	4	4	0.5896105319753204	1	0:00:11.942941
31	182	607	3.1985775147383384	0	0:00:11.942081
32	66	66	3.0101561463841153	1	0:00:11.941486
33	165	440	0.7262159169091584	0	0:00:11.942033
34	129	129	2.8843072573578645	1	0:00:11.938275
35	181	-1	0.0	0	0:00:11.937675
36	4	4	0.9543178026376805	1	0:00:11.934852
37	53	354	0.6656758678894071	0	0:00:11.933660
38	31	31	0.8237498669611244	1	0:00:11.936681
39	128	128	3.1985775147383384	1	0:00:11.933246
40	124	86	0.26885989872709876	0	0:00:11.933657
41	27	-1	0.0	0	0:00:11.936453
42	194	-1	0.0	0	0:00:11.937485
43	103	103	3.1985775147383384	1	0:00:11.933176
44	19	19	3.0557827464082843	1	0:00:11.936697
45	172	172	2.0068766545890058	1	0:00:11.935329
46	184	339	0.24330522145117245	0	0:00:11.935176
47	157	157	0.7910723502715863	1	0:00:11.933325
48	187	-1	0.0	0	0:00:11.933687
49	40	318	0.04768546116180415	0	0:00:11.936041
50	66	640	0.3580754998890387	0	0:00:11.929693
51	103	337	0.6787954316057709	0	0:00:11.931714
52	67	-1	0.0	0	0:00:11.934265
53	8	8	2.17421956045963	1	0:00:11.934941
54	107	107	3.1985775147383384	1	0:00:11.933542
55	50	-1	0.0	0	0:00:11.931896
56	189	189	0.788971856600637	1	0:00:11.934944
57	70	70	3.1985775147383384	1	0:00:11.936432
58	81	81	3.1985775147383384	1	0:00:11.942057
59	139	139	2.106780864909784	1	0:00:11.945337
60	92	92	0.06226995901031851	1	0:00:11.953845
61	1	1	3.1985775147383384	1	0:00:11.961685
62	199	199	3.1985775147383384	1	0:00:11.973348
63	23	366	0.42757121985672214	0	0:00:11.975854
64	43	43	1.118907539245972	1	0:00:11.970546
65	93	16	0.15002411303585156	0	0:00:11.964646
66	122	122	2.289211872360504	1	0:00:11.964045
67	48	-1	0.0	0	0:00:11.958148
68	5	5	2.8605958601798225	1	0:00:11.957687
69	171	171	2.5437450801314743	1	0:00:11.955722
70	84	-1	0.0	0	0:00:11.952996
71	32	31	1.6474041333951388	0	0:00:11.948991
72	105	105	0.9992072498877361	1	0:00:11.952574
73	39	378	0.728547989233663	0	0:00:11.949690
74	183	206	0.5242458523402409	0	0:00:11.947547
75	197	-1	0.0	0	0:00:11.945746
76	101	101	3.1985775147383384	1	0:00:11.947944
77	147	146	1.9765760377624657	0	0:00:11.946621
78	121	121	3.1985775147383384	1	0:00:11.945150
79	120	77	0.336849318402901	0	0:00:11.949030
80	199	-1	0.0	0	0:00:11.947150
81	34	973	0.5938578764745345	0	0:00:11.944740
82	195	232	1.754809299902314	0	0:00:11.943986
83	123	111	0.1304585949258853	0	0:00:11.941778
84	157	157	0.8005699845407299	1	0:00:11.946227
85	58	-1	0.0	0	0:00:11.945574
86	170	169	0.7626718641833713	0	0:00:11.944871
87	69	328	0.9649397381693705	0	0:00:11.936902
88	58	-1	0.0	0	0:00:11.936128
89	166	162	3.1985775147383384	0	0:00:11.937397
90	21	21	3.1985775147383384	1	0:00:11.933677
91	188	188	2.2124196651021895	1	0:00:11.937232
92	155	155	0.807654050975655	1	0:00:11.933784
93	111	669	0.5403561556050611	0	0:00:11.936705
94	7	7	3.1985775147383384	1	0:00:11.942938
95	147	147	3.0557827464082843	1	0:00:11.943864
96	25	119	0.6781526297417249	0	0:00:11.956263
97	155	-1	0.0	0	0:00:11.954936
98	69	69	3.1985775147383384	1	0:00:11.960728
99	191	191	2.150547104456045	1	0:00:11.963434
100	118	490	0.2269704778202863	0	0:00:11.952574
101	101	101	0.5418280124447465	1	0:00:11.942374
102	73	73	0.13782004048295632	1	0:00:11.938177
103	56	53	0.22464253206108864	0	0:00:11.936162
104	50	48	0.6698226589546143	0	0:00:11.936063
105	88	88	3.1985775147383384	1	0:00:11.944151
106	20	20	0.9059007589181688	1	0:00:11.947030
107	137	137	0.7510829496591046	1	0:00:11.941716
108	12	86	0.6155744638713511	0	0:00:11.945871
109	171	232	0.9266567784439941	0	0:00:11.941818
110	51	-1	0.0	0	0:00:11.941955
111	92	92	3.1985775147383384	1	0:00:11.939240
112	164	165	1.1390376062347176	0	0:00:11.937813
113	188	188	0.32669781613364696	1	0:00:11.939445
114	33	-1	0.0	0	0:00:11.938652
115	67	328	0.2817086694024783	0	0:00:11.937552
116	88	88	3.1985775147383384	1	0:00:11.938387
117	32	125	0.06705151527660266	0	0:00:11.934324
118	189	189	0.9637083613696242	1	0:00:11.936927
119	193	-1	0.0	0	0:00:11.935004
120	32	74	1.4868086738409605	0	0:00:11.935396
121	78	78	3.1985775147383384	1	0:00:11.935927
122	80	80	0.3688887431846445	1	0:00:11.936577
123	111	310	0.5438906908623665	0	0:00:11.934458
124	5	74	0.027342511196004556	0	0:00:11.933925
125	4	111	1.7967694857857583	0	0:00:11.928678
126	102	102	0.6103473342781967	1	0:00:11.934946
127	80	80	1.9229587903695031	1	0:00:11.932609
128	109	108	0.12462620866492459	0	0:00:11.934251
129	33	430	1.7793228992225054	0	0:00:11.935952
130	153	228	0.4384302848677359	0	0:00:11.937139
131	143	146	1.865216005442217	0	0:00:11.941705
132	100	-1	0.0	0	0:00:11.947796
133	41	-1	0.0	0	0:00:11.957821
134	57	57	2.400395233720955	1	0:00:11.976191
135	197	-1	0.0	0	0:00:11.981478
136	73	-1	0.0	0	0:00:11.983533
137	136	136	0.02809551800148337	1	0:00:11.984805
138	12	12	3.1985775147383384	1	0:00:11.977624
139	128	128	1.4555937797865641	1	0:00:11.973865
140	86	597	0.2641522395381707	0	0:00:11.969299
141	102	102	3.1985775147383384	1	0:00:11.967882
142	57	986	1.0598080582176481	0	0:00:11.967676
143	0	0	2.818598300398245	1	0:00:11.965230
144	105	-1	0.0	0	0:00:11.958585
145	125	-1	0.0	0	0:00:11.943198
146	123	123	1.4236110226415088	1	0:00:11.935085
147	137	-1	0.0	0	0:00:11.935098
148	82	82	1.1998390062040898	1	0:00:11.937516
149	120	-1	0.0	0	0:00:11.942526
150	93	93	3.1985775147383384	1	0:00:11.944605
151	181	-1	0.0	0	0:00:11.941834
152	123	138	0.12919024200426568	0	0:00:11.935344
153	29	-1	0.0	0	0:00:11.934568
154	69	69	0.2685981917683894	1	0:00:11.935342
155	151	-1	0.0	0	0:00:11.934350
156	173	-1	0.0	0	0:00:11.933215
157	51	645	0.8618299504031297	0	0:00:11.936121
158	52	52	1.4780739985246918	1	0:00:11.930840
159	47	320	2.8843072573578645	0	0:00:11.931771
160	90	90	3.1985775147383384	1	0:00:11.930781
161	189	-1	0.0	0	0:00:11.927820
162	148	148	3.1985775147383384	1	0:00:11.925605
163	86	-1	0.0	0	0:00:11.925757
164	143	146	1.4586489380650944	0	0:00:11.928934
165	150	362	1.8762420302948764	0	0:00:11.926381
166	193	-1	0.0	0	0:00:11.930185
167	46	83	0.03663179063131432	0	0:00:11.934271
168	43	980	0.3012103633445726	0	0:00:11.939616
169	15	85	0.3349765229104427	0	0:00:11.944380
170	138	138	0.5254126365525646	1	0:00:11.950154
171	160	183	0.444580138134883	0	0:00:11.957473
172	127	127	3.1985775147383384	1	0:00:11.967116
173	26	26	0.067806686947896	1	0:00:11.978118
174	122	122	3.1985775147383384	1	0:00:11.979396
175	61	843	0.8840220295963033	0	0:00:11.978218
176	25	-1	0.0	0	0:00:11.975782
177	180	180	0.00025058318595563524	1	0:00:11.970243
178	103	-1	0.0	0	0:00:11.964637
179	153	153	2.269560785015186	1	0:00:11.963781
180	161	218	0.9856913962278415	0	0:00:11.959208
181	131	133	0.6429214111908542	0	0:00:11.956618
182	14	91	0.26075625907420535	0	0:00:11.954136
183	110	110	1.6642990805775724	1	0:00:11.959290
184	198	-1	0.0	0	0:00:11.957726
185	91	322	1.084654506113562	0	0:00:11.953630
186	175	252	0.7767904599939595	0	0:00:11.952111
187	14	14	3.1985775147383384	1	0:00:11.953164
188	153	204	1.4563562391782117	0	0:00:11.947623
189	39	39	3.0101561463841153	1	0:00:11.948656
190	14	14	1.885889459314404	1	0:00:11.948092
191	134	99	0.2896002523866282	0	0:00:11.948860
192	103	6	0.4239634765332775	0	0:00:11.942444
193	176	176	1.5659077142042717	1	0:00:11.945275
194	187	151	1.4207122212516199	0	0:00:11.943323
195	53	-1	0.0	0	0:00:11.945266
196	99	99	3.1985775147383384	1	0:00:11.944019
197	127	958	0.3104771923360183	0	0:00:11.931421
198	41	41	3.11396359218263	1	0:00:11.932202
199	73	73	3.1985775147383384	1	0:00:11.934755
200	83	83	2.1622189931217433	1	0:00:11.936890
201	12	710	0.6134199889550467	0	0:00:11.934888
202	99	49	1.1839479741842014	0	0:00:11.928528
203	69	69	1.2892902086792113	1	0:00:11.931607
204	198	-1	0.0	0	0:00:11.929857
205	23	112	1.1440207029778708	0	0:00:11.930591
206	116	-1	0.0	0	0:00:11.934215
207	77	73	0.05623292706975126	0	0:00:11.936183
208	112	112	3.1985775147383384	1	0:00:11.938209
209	61	-1	0.0	0	0:00:11.944786
210	43	39	0.4901531719200904	0	0:00:11.950949
211	13	133	0.9314141254190246	0	0:00:11.954346
212	83	351	0.10589458601197878	0	0:00:11.960451
213	110	-1	0.0	0	0:00:11.977098
214	13	995	0.8547769007459434	0	0:00:11.979087
215	89	89	2.2812348679674237	1	0:00:11.967034
216	78	78	3.1985775147383384	1	0:00:11.964385
217	79	78	1.4257933432470993	0	0:00:11.955518
218	78	78	3.1985775147383384	1	0:00:11.959313
219	112	566	0.2573635779227041	0	0:00:11.958665
220	126	126	1.4648022725775798	1	0:00:11.953596
