radius,accuracy
0.000,0.59
0.010,0.59
0.020,0.59
0.030,0.59
0.040,0.59
0.050,0.59
0.060,0.59
0.070,0.59
0.080,0.59
0.090,0.59
0.100,0.59
0.110,0.59
0.120,0.59
0.130,0.59
0.140,0.59
0.150,0.59
0.160,0.59
0.170,0.59
0.180,0.59
0.190,0.59
0.200,0.59
0.210,0.59
0.220,0.59
0.230,0.59
0.240,0.59
0.250,0.59
0.260,0.59
0.270,0.59
0.280,0.59
0.290,0.59
0.300,0.59
0.310,0.59
0.320,0.59
0.330,0.59
0.340,0.59
0.350,0.59
0.360,0.58
0.370,0.58
0.380,0.57
0.390,0.57
0.400,0.57
0.410,0.57
0.420,0.57
0.430,0.57
0.440,0.57
0.450,0.56
0.460,0.56
0.470,0.56
0.480,0.56
0.490,0.56
0.500,0.56
0.510,0.55
0.520,0.55
0.530,0.55
0.540,0.55
0.550,0.55
0.560,0.55
0.570,0.54
0.580,0.53
0.590,0.53
0.600,0.53
0.610,0.53
0.620,0.53
0.630,0.53
0.640,0.53
0.650,0.53
0.660,0.53
0.670,0.53
0.680,0.53
0.690,0.53
0.700,0.53
0.710,0.53
0.720,0.53
0.730,0.52
0.740,0.52
0.750,0.5
0.760,0.48
0.770,0.47
0.780,0.47
0.790,0.47
0.800,0.0
0.810,0.0
0.820,0.0
0.830,0.0
0.840,0.0
0.850,0.0
0.860,0.0
0.870,0.0
0.880,0.0
0.890,0.0
0.900,0.0
0.910,0.0
0.920,0.0
0.930,0.0
0.940,0.0
0.950,0.0
0.960,0.0
0.970,0.0
0.980,0.0
0.990,0.0
1.000,0.0
