radius,accuracy
0.000,0.22
0.010,0.22
0.020,0.22
0.030,0.22
0.040,0.22
0.050,0.22
0.060,0.22
0.070,0.22
0.080,0.22
0.090,0.22
0.100,0.22
0.110,0.22
0.120,0.22
0.130,0.22
0.140,0.22
0.150,0.22
0.160,0.22
0.170,0.22
0.180,0.22
0.190,0.22
0.200,0.22
0.210,0.22
0.220,0.22
0.230,0.22
0.240,0.22
0.250,0.22
0.260,0.22
0.270,0.22
0.280,0.22
0.290,0.22
0.300,0.22
0.310,0.22
0.320,0.22
0.330,0.22
0.340,0.22
0.350,0.22
0.360,0.22
0.370,0.22
0.380,0.22
0.390,0.22
0.400,0.22
0.410,0.22
0.420,0.22
0.430,0.21
0.440,0.2
0.450,0.2
0.460,0.2
0.470,0.2
0.480,0.2
0.490,0.2
0.500,0.2
0.510,0.2
0.520,0.2
0.530,0.2
0.540,0.2
0.550,0.2
0.560,0.2
0.570,0.2
0.580,0.2
0.590,0.2
0.600,0.2
0.610,0.2
0.620,0.2
0.630,0.2
0.640,0.2
0.650,0.2
0.660,0.2
0.670,0.2
0.680,0.2
0.690,0.2
0.700,0.2
0.710,0.19
0.720,0.19
0.730,0.19
0.740,0.19
0.750,0.19
0.760,0.19
0.770,0.19
0.780,0.19
0.790,0.19
0.800,0.19
0.810,0.19
0.820,0.19
0.830,0.19
0.840,0.19
0.850,0.19
0.860,0.19
0.870,0.19
0.880,0.19
0.890,0.19
0.900,0.19
0.910,0.18
0.920,0.18
0.930,0.18
0.940,0.18
0.950,0.18
0.960,0.18
0.970,0.18
0.980,0.18
0.990,0.18
1.000,0.18
1.010,0.18
1.020,0.18
1.030,0.18
1.040,0.18
1.050,0.18
1.060,0.18
1.070,0.18
1.080,0.17
1.090,0.17
1.100,0.16
1.110,0.16
1.120,0.16
1.130,0.16
1.140,0.16
1.150,0.16
1.160,0.16
1.170,0.16
1.180,0.16
1.190,0.16
1.200,0.16
1.210,0.16
1.220,0.16
1.230,0.16
1.240,0.16
1.250,0.16
1.260,0.15
1.270,0.15
1.280,0.15
1.290,0.15
1.300,0.14
1.310,0.14
1.320,0.14
1.330,0.14
1.340,0.13
1.350,0.13
1.360,0.13
1.370,0.12
1.380,0.11
1.390,0.11
1.400,0.11
1.410,0.11
1.420,0.11
1.430,0.11
1.440,0.11
1.450,0.11
1.460,0.11
1.470,0.11
1.480,0.1
1.490,0.1
1.500,0.1
1.510,0.1
1.520,0.1
1.530,0.1
1.540,0.1
1.550,0.1
1.560,0.1
1.570,0.1
1.580,0.1
1.590,0.1
1.600,0.1
1.610,0.1
1.620,0.1
1.630,0.1
1.640,0.1
1.650,0.1
1.660,0.1
1.670,0.1
1.680,0.09
1.690,0.09
1.700,0.09
1.710,0.09
1.720,0.09
1.730,0.09
1.740,0.09
1.750,0.09
1.760,0.09
1.770,0.09
1.780,0.09
1.790,0.09
1.800,0.09
1.810,0.09
1.820,0.09
1.830,0.09
1.840,0.09
1.850,0.09
1.860,0.09
1.870,0.09
1.880,0.09
1.890,0.09
1.900,0.09
1.910,0.09
1.920,0.09
1.930,0.09
1.940,0.09
1.950,0.09
1.960,0.09
1.970,0.09
1.980,0.09
1.990,0.09
2.000,0.08
2.010,0.08
2.020,0.08
2.030,0.08
2.040,0.08
2.050,0.08
2.060,0.08
2.070,0.08
2.080,0.08
2.090,0.08
2.100,0.08
2.110,0.08
2.120,0.08
2.130,0.08
2.140,0.08
2.150,0.08
2.160,0.08
2.170,0.07
2.180,0.07
2.190,0.07
2.200,0.07
2.210,0.07
2.220,0.07
2.230,0.07
2.240,0.07
2.250,0.07
2.260,0.07
2.270,0.07
2.280,0.07
2.290,0.07
2.300,0.07
2.310,0.07
2.320,0.07
2.330,0.07
2.340,0.07
2.350,0.07
2.360,0.07
2.370,0.07
2.380,0.07
2.390,0.07
2.400,0.06
2.410,0.06
2.420,0.06
2.430,0.06
2.440,0.06
2.450,0.06
2.460,0.06
2.470,0.06
2.480,0.06
2.490,0.06
2.500,0.06
2.510,0.06
2.520,0.06
2.530,0.06
2.540,0.06
2.550,0.06
2.560,0.05
2.570,0.05
2.580,0.05
2.590,0.05
2.600,0.05
2.610,0.05
2.620,0.04
2.630,0.04
