idx	label	predict	radius	correct	time
0	0	0	0.3751187560301591	1	0:00:40.162652
1	0	0	0.3751187560301591	1	0:00:38.182268
2	0	0	0.0476433523773489	1	0:00:38.315809
3	0	33	0.3103349378422809	0	0:00:38.344981
4	0	0	0.3751187560301591	1	0:00:38.357187
5	0	0	0.3751187560301591	1	0:00:38.336315
6	0	59	0.3751187560301591	0	0:00:38.329339
7	0	59	0.14922387559199524	0	0:00:38.338544
8	0	38	0.007516270783353468	0	0:00:38.358400
9	0	38	0.03399082011348513	0	0:00:38.405681
10	0	-1	0.0	0	0:00:38.458871
11	0	33	0.33731475970259756	0	0:00:38.434680
12	0	33	0.3751187560301591	0	0:00:38.420131
13	0	33	0.0476433523773489	0	0:00:38.403767
14	0	13	0.33731475970259756	0	0:00:38.379953
15	0	38	0.3751187560301591	0	0:00:38.375596
16	0	33	0.3751187560301591	0	0:00:38.402779
17	0	33	0.1066054990422021	0	0:00:38.416651
18	0	59	0.06881057159081651	0	0:00:38.434172
19	0	38	0.25342044979822537	0	0:00:38.446883
20	0	33	0.3751187560301591	0	0:00:38.431047
21	0	33	0.28853446265041166	0	0:00:38.415607
22	0	-1	0.0	0	0:00:38.438777
23	0	0	0.040776690271599546	1	0:00:38.427365
24	0	33	0.28853446265041166	0	0:00:38.406079
25	0	33	0.3751187560301591	0	0:00:38.405844
26	0	33	0.3751187560301591	0	0:00:38.441840
27	0	0	0.3751187560301591	1	0:00:38.453802
28	0	33	0.17848617106369005	0	0:00:38.443444
29	0	-1	0.0	0	0:00:38.435911
30	0	0	0.05459870698835932	1	0:00:38.424440
31	0	77	0.3751187560301591	0	0:00:38.397307
32	0	38	0.25342044979822537	0	0:00:38.414764
33	0	77	0.0476433523773489	0	0:00:38.416899
34	0	-1	0.0	0	0:00:38.431730
35	0	77	0.3103349378422809	0	0:00:38.435193
36	0	77	0.28853446265041166	0	0:00:38.412568
37	0	38	0.05459870698835932	0	0:00:38.404772
