idx	label	predict	radius	correct	time
300	7	28	0.22488653083967333	0	0:01:56.395406
301	7	-1	0.0	0	0:01:55.435785
302	7	10	0.07608668719692674	0	0:01:55.683731
303	7	7	0.20033673971031443	1	0:01:55.760206
304	8	8	0.3751187560301591	1	0:01:55.701868
305	8	-1	0.0	0	0:01:55.714774
306	8	8	0.1683286366521735	1	0:01:55.713754
307	8	68	0.08349097471880214	0	0:01:55.719700
308	8	-1	0.0	0	0:01:55.742630
309	8	68	0.08349097471880214	0	0:01:55.784241
310	8	-1	0.0	0	0:01:55.759217
311	8	8	0.3751187560301591	1	0:01:55.780724
312	8	8	0.040776690271599546	1	0:01:55.772344
313	8	68	0.09103595423714506	0	0:01:55.763991
314	8	8	0.22488653083967333	1	0:01:55.793649
315	8	8	0.3751187560301591	1	0:01:55.794742
316	8	95	0.3751187560301591	0	0:01:55.781371
317	8	-1	0.0	0	0:01:55.687234
318	8	8	0.014047314151202488	1	0:01:55.855363
319	8	43	0.014047314151202488	0	0:01:55.767158
320	8	8	0.3751187560301591	1	0:01:55.766363
321	8	68	0.3751187560301591	0	0:01:55.746196
322	8	8	0.3751187560301591	1	0:01:55.763168
323	8	95	0.3751187560301591	0	0:01:55.779780
324	8	11	0.3751187560301591	0	0:01:55.780851
325	8	-1	0.0	0	0:01:55.772741
326	8	95	0.20033673971031443	0	0:01:55.765342
327	8	11	0.21221169476115184	0	0:01:55.795896
328	8	68	0.0010339566158333888	0	0:01:55.774439
329	8	11	0.23853973179164192	0	0:01:55.772479
330	8	8	0.3751187560301591	1	0:01:55.773862
331	8	92	0.33731475970259756	0	0:01:55.785446
332	8	-1	0.0	0	0:01:55.781875
333	8	44	0.1683286366521735	0	0:01:55.783549
334	8	92	0.33731475970259756	0	0:01:55.774862
335	8	-1	0.0	0	0:01:55.772527
336	8	8	0.15859201599657063	1	0:01:55.787473
337	8	95	0.3751187560301591	0	0:01:55.783649
338	8	11	0.3751187560301591	0	0:01:55.788076
339	8	95	0.11466337487718899	0	0:01:55.799328
340	8	95	0.13142622862583067	0	0:01:55.777718
341	9	9	0.0010339566158333888	1	0:01:55.798550
342	9	20	0.2698941569518249	0	0:01:55.855153
343	9	51	0.1066054990422021	0	0:01:55.863606
344	9	-1	0.0	0	0:01:55.837172
345	9	-1	0.0	0	0:01:55.770707
346	9	-1	0.0	0	0:01:55.749620
347	9	9	0.3751187560301591	1	0:01:55.763575
348	9	9	0.3751187560301591	1	0:01:55.801589
349	9	9	0.23853973179164192	1	0:01:55.824741
350	9	9	0.13142622862583067	1	0:01:55.810969
351	9	9	0.3751187560301591	1	0:01:55.814985
352	9	9	0.23853973179164192	1	0:01:55.812993
353	9	9	0.3751187560301591	1	0:01:55.788372
354	9	51	0.05459870698835932	0	0:01:55.824330
355	9	9	0.05459870698835932	1	0:01:55.809745
356	9	51	0.28853446265041166	0	0:01:55.793487
357	9	5	0.3751187560301591	0	0:01:55.735504
358	9	-1	0.0	0	0:01:55.833202
359	9	9	0.28853446265041166	1	0:01:55.845889
360	9	-1	0.0	0	0:01:55.832513
361	9	9	0.3751187560301591	1	0:01:55.808872
362	9	9	0.3751187560301591	1	0:01:55.819893
363	9	9	0.3751187560301591	1	0:01:55.799181
364	9	9	0.3751187560301591	1	0:01:55.801994
365	9	9	0.3751187560301591	1	0:01:55.791604
366	9	9	0.3751187560301591	1	0:01:55.789199
367	9	9	0.3751187560301591	1	0:01:55.787907
368	9	9	0.3751187560301591	1	0:01:55.803298
369	9	9	0.3751187560301591	1	0:01:55.791095
370	9	9	0.3751187560301591	1	0:01:55.747206
371	9	9	0.3103349378422809	1	0:01:55.730179
372	9	9	0.3751187560301591	1	0:01:55.760138
373	9	9	0.3751187560301591	1	0:01:55.783687
374	9	9	0.3751187560301591	1	0:01:55.782920
375	9	9	0.07608668719692674	1	0:01:55.775616
376	9	9	0.15859201599657063	1	0:01:55.790564
377	9	-1	0.0	0	0:01:55.789303
378	9	9	0.3751187560301591	1	0:01:55.801425
379	9	9	0.3751187560301591	1	0:01:55.762136
380	9	9	0.33731475970259756	1	0:01:55.794338
381	9	9	0.3751187560301591	1	0:01:55.796319
382	9	69	0.3751187560301591	0	0:01:55.807535
383	9	69	0.3103349378422809	0	0:01:55.816226
384	9	69	0.3751187560301591	0	0:01:55.807283
385	9	9	0.3103349378422809	1	0:01:55.811322
386	9	9	0.33731475970259756	1	0:01:55.808680
387	9	69	0.3103349378422809	0	0:01:55.834340
388	9	69	0.3751187560301591	0	0:01:55.836606
389	10	-1	0.0	0	0:01:55.800731
390	10	10	0.3751187560301591	1	0:01:55.781889
391	10	10	0.3751187560301591	1	0:01:55.782355
392	10	10	0.3751187560301591	1	0:01:55.810606
393	10	10	0.09103595423714506	1	0:01:55.799882
394	10	10	0.3751187560301591	1	0:01:55.791509
395	10	10	0.3751187560301591	1	0:01:55.792661
396	10	10	0.3751187560301591	1	0:01:55.786143
397	10	10	0.3103349378422809	1	0:01:55.765346
398	10	80	0.3103349378422809	0	0:01:55.776459
399	10	97	0.23853973179164192	0	0:01:55.759831
400	10	-1	0.0	0	0:01:55.757697
401	10	10	0.0010339566158333888	1	0:01:55.852155
402	10	97	0.21221169476115184	0	0:01:55.784137
403	10	97	0.3751187560301591	0	0:01:55.780555
404	10	10	0.3751187560301591	1	0:01:55.808984
405	10	-1	0.0	0	0:01:55.810969
406	10	10	0.3751187560301591	1	0:01:55.806607
407	10	-1	0.0	0	0:01:55.806199
408	10	10	0.3751187560301591	1	0:01:55.789493
409	10	10	0.28853446265041166	1	0:01:55.802550
410	10	10	0.3751187560301591	1	0:01:55.799343
411	10	10	0.3751187560301591	1	0:01:55.806166
