idx	label	predict	radius	correct	time
0	0	0	0.3751187560301591	1	0:00:53.747261
1	0	0	0.3751187560301591	1	0:00:38.635112
2	0	0	0.3751187560301591	1	0:01:17.176316
3	0	0	0.3751187560301591	1	0:01:10.370545
4	0	0	0.3751187560301591	1	0:01:35.098677
5	0	0	0.3751187560301591	1	0:00:39.038853
6	0	-1	0.0	0	0:00:50.834343
7	0	-1	0.0	0	0:00:43.813187
8	0	0	0.1683286366521735	1	0:01:12.836346
9	0	1	0.33731475970259756	0	0:00:50.852311
10	0	0	0.3751187560301591	1	0:01:10.150899
11	0	0	0.3751187560301591	1	0:00:41.705828
12	0	0	0.3751187560301591	1	0:00:37.609375
13	0	0	0.3751187560301591	1	0:00:34.713933
14	0	0	0.3751187560301591	1	0:00:43.833884
15	0	0	0.3751187560301591	1	0:00:46.344951
16	0	0	0.3751187560301591	1	0:00:39.024798
17	0	0	0.3751187560301591	1	0:00:41.674225
18	0	76	0.1066054990422021	0	0:00:37.490935
19	0	0	0.3751187560301591	1	0:00:53.365198
20	0	0	0.3751187560301591	1	0:00:34.721201
21	0	0	0.3751187560301591	1	0:01:15.316908
22	0	0	0.3751187560301591	1	0:00:46.363092
23	0	0	0.3751187560301591	1	0:01:20.271548
24	0	0	0.3751187560301591	1	0:01:20.195155
25	0	0	0.3751187560301591	1	0:00:46.358798
26	0	0	0.3751187560301591	1	0:00:55.718460
27	0	0	0.3751187560301591	1	0:01:15.482298
28	0	0	0.3751187560301591	1	0:00:37.619607
29	0	0	0.33731475970259756	1	0:01:10.593243
30	0	0	0.3751187560301591	1	0:00:44.441148
31	0	0	0.3751187560301591	1	0:00:44.493138
32	0	77	0.07608668719692674	0	0:01:13.184557
33	0	0	0.3751187560301591	1	0:00:31.809477
34	0	0	0.3751187560301591	1	0:01:25.773644
35	0	-1	0.0	0	0:00:44.213780
36	0	0	0.14922387559199524	1	0:00:51.270970
37	0	61	0.14922387559199524	0	0:00:46.775175
38	0	1	0.0010339566158333888	0	0:00:51.243318
39	0	0	0.3751187560301591	1	0:00:42.002178
40	0	0	0.3751187560301591	1	0:00:44.768665
41	0	0	0.3751187560301591	1	0:00:31.795238
42	0	0	0.3751187560301591	1	0:00:51.569252
43	0	0	0.3751187560301591	1	0:00:37.684860
44	1	1	0.3751187560301591	1	0:00:44.176478
45	1	1	0.3751187560301591	1	0:00:51.547021
46	1	1	0.3751187560301591	1	0:01:38.203243
47	1	1	0.3751187560301591	1	0:03:01.233471
48	1	1	0.3751187560301591	1	0:01:10.824393
49	1	0	0.3751187560301591	0	0:00:42.074733
50	1	0	0.3751187560301591	0	0:00:37.576398
51	1	0	0.33731475970259756	0	0:00:31.862222
52	1	0	0.3751187560301591	0	0:00:56.325405
53	1	-1	0.0	0	0:00:53.898584
54	1	-1	0.0	0	0:00:34.981828
55	1	19	0.1066054990422021	0	0:00:46.823183
56	1	19	0.3751187560301591	0	0:00:44.832493
57	1	1	0.3751187560301591	1	0:00:31.854356
58	1	1	0.13142622862583067	1	0:00:44.259172
59	1	1	0.3751187560301591	1	0:00:44.262075
60	1	1	0.3751187560301591	1	0:01:18.425092
61	1	1	0.3751187560301591	1	0:00:51.303987
62	1	13	0.3751187560301591	0	0:00:53.906242
63	1	13	0.3751187560301591	0	0:00:46.806919
64	1	1	0.3751187560301591	1	0:00:38.036777
65	1	1	0.3751187560301591	1	0:00:39.437851
66	1	1	0.3751187560301591	1	0:00:46.793624
67	1	1	0.3751187560301591	1	0:03:48.827398
68	1	1	0.3751187560301591	1	0:01:16.027470
69	1	1	0.3751187560301591	1	0:00:46.836843
70	1	1	0.3751187560301591	1	0:04:28.220739
71	1	1	0.3751187560301591	1	0:01:43.459084
72	1	1	0.13142622862583067	1	0:01:20.908999
73	1	1	0.3751187560301591	1	0:00:39.397349
74	1	1	0.3751187560301591	1	0:01:15.979667
75	1	1	0.3751187560301591	1	0:00:51.604547
76	2	2	0.21221169476115184	1	0:00:42.001135
77	2	91	0.3751187560301591	0	0:00:44.766672
78	2	2	0.1683286366521735	1	0:00:46.755653
79	2	-1	0.0	0	0:00:39.313594
80	2	-1	0.0	0	0:00:41.987740
81	2	-1	0.0	0	0:00:35.002036
82	2	2	0.28853446265041166	1	0:00:44.753102
83	2	2	0.3751187560301591	1	0:00:46.761220
84	2	2	0.3751187560301591	1	0:00:51.619015
85	2	2	0.3751187560301591	1	0:00:44.732414
86	2	2	0.3751187560301591	1	0:00:34.926413
87	2	2	0.3751187560301591	1	0:00:39.314049
88	2	2	0.3751187560301591	1	0:00:37.955231
89	2	2	0.3751187560301591	1	0:00:51.584674
90	2	32	0.3751187560301591	0	0:00:44.167116
91	2	2	0.3751187560301591	1	0:00:53.787197
92	2	90	0.05459870698835932	0	0:00:39.368976
93	2	-1	0.0	0	0:00:44.757572
94	2	2	0.3751187560301591	1	0:00:39.346617
95	2	2	0.3751187560301591	1	0:00:51.575625
96	2	2	0.3751187560301591	1	0:00:51.245283
97	2	2	0.3751187560301591	1	0:00:44.734815
98	2	2	0.3751187560301591	1	0:00:42.005414
99	2	2	0.3751187560301591	1	0:00:44.173299
100	2	2	0.3751187560301591	1	0:03:48.778745
101	2	2	0.3751187560301591	1	0:04:45.126518
102	2	2	0.3751187560301591	1	0:04:11.699811
103	2	80	0.3751187560301591	0	0:00:15.876025
104	2	80	0.3751187560301591	0	0:01:05.104861
105	2	-1	0.0	0	0:00:26.279261
106	2	-1	0.0	0	0:00:37.854955
107	2	-1	0.0	0	0:00:26.315430
108	2	34	0.3751187560301591	0	0:00:34.771961
109	2	34	0.28853446265041166	0	0:00:41.966260
110	2	-1	0.0	0	0:00:41.953918
111	2	2	0.09873557972895255	1	0:00:29.036750
112	2	2	0.13142622862583067	1	0:00:23.448411
113	2	-1	0.0	0	0:00:15.834799
114	2	-1	0.0	0	0:00:15.835182
115	2	-1	0.0	0	0:00:20.778376
116	2	2	0.33731475970259756	1	0:00:20.779077
117	3	3	0.3751187560301591	1	0:00:51.574028
118	3	3	0.3751187560301591	1	0:00:51.576800
119	3	3	0.3751187560301591	1	0:00:46.699557
120	3	3	0.3751187560301591	1	0:01:13.251005
121	3	-1	0.0	0	0:00:34.701560
122	3	3	0.2698941569518249	1	0:00:37.743447
123	3	3	0.3751187560301591	1	0:00:37.732047
124	3	3	0.3751187560301591	1	0:00:34.710029
125	3	3	0.3751187560301591	1	0:00:26.259557
126	3	3	0.3751187560301591	1	0:00:56.214189
127	3	3	0.3751187560301591	1	0:01:10.649346
128	3	3	0.3751187560301591	1	0:00:53.782910
129	3	3	0.3751187560301591	1	0:01:05.097636
130	3	3	0.3751187560301591	1	0:01:07.826840
131	3	3	0.3751187560301591	1	0:00:41.921862
132	3	3	0.3751187560301591	1	0:00:53.767644
